IMGNAME	GROUP_A	GROUP_B	THVAL_HB	SPOTS_HB	FSCORE_HB	THVAL_BF	SPOTS_BF	FSCORE_BF
mESC4d_Tsix-AF594	TsixE_AF594	mESC4d_Tsix	72	NaN	NaN	151	NaN	NaN
mESC4d_Xist-CY5	XistE_CY5	XistE_Hi	62	NaN	NaN	130	NaN	NaN
scrna_E1R2I4_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	84	NaN	NaN	150	NaN	NaN
scrna_E1R2I4_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	166	NaN	NaN	113	NaN	NaN
scrna_E2R1I2_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	104	NaN	NaN	638	NaN	NaN
scrna_E2R1I2_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	162	NaN	NaN	551	NaN	NaN
scrna_E2R2I3_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	81	NaN	NaN	193	NaN	NaN
scrna_E2R2I3_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	98	NaN	NaN	273	NaN	NaN
scrna_E2R2I5_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	66	NaN	NaN	201	NaN	NaN
scrna_E2R2I5_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	104	NaN	NaN	317	NaN	NaN
mESC_loday_D0I18_Xist	XistE_CY5	XistE_Lo	58	NaN	NaN	150	NaN	NaN
mESC_loday_D0I18_Tsix	TsixE_TMR	TsixE_loday	118	NaN	NaN	287	NaN	NaN
mESC_loday_D0I04_Xist	XistE_CY5	XistE_Lo	48	NaN	NaN	152	NaN	NaN
mESC_loday_D0I04_Tsix	TsixE_TMR	TsixE_loday	105	NaN	NaN	192	NaN	NaN
mESC_loday_D0I29_Xist	XistE_CY5	XistE_Lo	56	NaN	NaN	132	NaN	NaN
mESC_loday_D0I29_Tsix	TsixE_TMR	TsixE_loday	110	NaN	NaN	264	NaN	NaN
mESC_loday_D0I40_Xist	XistE_CY5	XistE_Lo	50	NaN	NaN	158	NaN	NaN
mESC_loday_D0I40_Tsix	TsixE_TMR	TsixE_loday	101	NaN	NaN	244	NaN	NaN
mESC_loday_DHI07_Xist	XistE_CY5	XistE_Lo	64	NaN	NaN	164	NaN	NaN
mESC_loday_DHI07_Tsix	TsixE_TMR	TsixE_loday	108	NaN	NaN	147	NaN	NaN
mESC_loday_DHI32_Xist	XistE_CY5	XistE_Lo	54	NaN	NaN	137	NaN	NaN
mESC_loday_DHI32_Tsix	TsixE_TMR	TsixE_loday	104	NaN	NaN	181	NaN	NaN
mESC_loday_D1I02_Xist	XistE_CY5	XistE_Hi	57	NaN	NaN	53	NaN	NaN
mESC_loday_D1I02_Tsix	TsixE_TMR	TsixE_loday	111	NaN	NaN	204	NaN	NaN
mESC_loday_D1I15_Xist	XistE_CY5	XistE_Hi	60	NaN	NaN	137	NaN	NaN
mESC_loday_D1I15_Tsix	TsixE_TMR	TsixE_loday	106	NaN	NaN	256	NaN	NaN
mESC_loday_D1I32_Xist	XistE_CY5	XistE_Hi	37	NaN	NaN	98	NaN	NaN
mESC_loday_D1I32_Tsix	TsixE_TMR	TsixE_loday	98	NaN	NaN	174	NaN	NaN
scprotein_Msb2_2M1m	Msb2	Msb2	119	NaN	NaN	221	NaN	NaN
scprotein_Msb2_2M5m	Msb2	Msb2	116	NaN	NaN	5	NaN	NaN
scprotein_Msb2_4M1m	Msb2	Msb2	105	NaN	NaN	782	NaN	NaN
scprotein_Msb2_4M5m	Msb2	Msb2	120	NaN	NaN	246	NaN	NaN
scprotein_Msb2_NoSalt	Msb2	Msb2	107	NaN	NaN	728	NaN	NaN
scprotein_Opy2_2M1m	Opy2	Opy2	114	NaN	NaN	289	NaN	NaN
scprotein_Opy2_2M5m	Opy2	Opy2	108	NaN	NaN	88	NaN	NaN
scprotein_Opy2_4M1m	Opy2	Opy2	107	NaN	NaN	33	NaN	NaN
scprotein_Opy2_4M5m	Opy2	Opy2	104	NaN	NaN	863	NaN	NaN
scprotein_Opy2_NoSalt	Opy2	Opy2	119	NaN	NaN	55	NaN	NaN
histonesc_D0I1A_H3K36me3_Xist	XistI_CY5	XistI_Lo	68	NaN	NaN	163	NaN	NaN
histonesc_D0I1A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	129	NaN	NaN	189	NaN	NaN
histonesc_D0I1A_H3K36me3_Histone	H3K36me3	H3K36me3_D0	147	NaN	NaN	109	NaN	NaN
histonesc_D0I1B_H3K36me3_Xist	XistI_CY5	XistI_Lo	67	NaN	NaN	189	NaN	NaN
histonesc_D0I1B_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	142	NaN	NaN	37	NaN	NaN
histonesc_D0I1B_H3K36me3_Histone	H3K36me3	H3K36me3_D0	158	NaN	NaN	329	NaN	NaN
histonesc_D0I1C_H3K36me3_Xist	XistI_CY5	XistI_Lo	73	NaN	NaN	195	NaN	NaN
histonesc_D0I1C_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	138	NaN	NaN	267	NaN	NaN
histonesc_D0I1C_H3K36me3_Histone	H3K36me3	H3K36me3_D0	141	NaN	NaN	520	NaN	NaN
histonesc_D0I2A_H3K36me3_Xist	XistI_CY5	XistI_Lo	61	NaN	NaN	202	NaN	NaN
histonesc_D0I2A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	134	NaN	NaN	211	NaN	NaN
histonesc_D0I2A_H3K36me3_Histone	H3K36me3	H3K36me3_D0	160	NaN	NaN	22	NaN	NaN
histonesc_D0I2B_H3K36me3_Xist	XistI_CY5	XistI_Lo	72	NaN	NaN	220	NaN	NaN
histonesc_D0I2B_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	124	NaN	NaN	222	NaN	NaN
histonesc_D0I2B_H3K36me3_Histone	H3K36me3	H3K36me3_D0	145	NaN	NaN	312	NaN	NaN
histonesc_D0I2C_H3K36me3_Xist	XistI_CY5	XistI_Lo	70	NaN	NaN	186	NaN	NaN
histonesc_D0I2C_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	139	NaN	NaN	156	NaN	NaN
histonesc_D0I2C_H3K36me3_Histone	H3K36me3	H3K36me3_D0	140	NaN	NaN	281	NaN	NaN
histonesc_D0I3A_H3K36me3_Xist	XistI_CY5	XistI_Lo	67	NaN	NaN	201	NaN	NaN
histonesc_D0I3A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	137	NaN	NaN	227	NaN	NaN
