IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R1_30m_I3_CTT1	1	1	30	3	2	168	233	480	286
sctc_E1R1_30m_I4_STL1	1	1	30	4	1	84	7137	143	8025
sctc_E1R1_30m_I4_CTT1	1	1	30	4	2	170	246	441	348
sctc_E1R1_35m_I1_STL1	1	1	35	1	1	72	966	187	984
sctc_E1R1_35m_I1_CTT1	1	1	35	1	2	123	85	101	38383
sctc_E1R1_35m_I2_STL1	1	1	35	2	1	73	1134	151	1261
sctc_E1R1_35m_I2_CTT1	1	1	35	2	2	120	93	64	61196
sctc_E1R1_35m_I3_STL1	1	1	35	3	1	66	1257	139	1430
sctc_E1R1_35m_I3_CTT1	1	1	35	3	2	118	118	96	40161
sctc_E1R1_35m_I4_STL1	1	1	35	4	1	63	1099	142	1148
sctc_E1R1_35m_I4_CTT1	1	1	35	4	2	116	171	451	312
sctc_E1R1_40m_I1_STL1	1	1	40	1	1	81	1330	179	1344
sctc_E1R1_40m_I1_CTT1	1	1	40	1	2	119	106	82	52646
sctc_E1R1_40m_I2_STL1	1	1	40	2	1	75	984	166	919
sctc_E1R1_40m_I2_CTT1	1	1	40	2	2	129	140	98	39815
sctc_E1R1_40m_I3_STL1	1	1	40	3	1	73	2510	177	2439
sctc_E1R1_40m_I3_CTT1	1	1	40	3	2	143	122	345	2116
sctc_E1R1_40m_I4_STL1	1	1	40	4	1	72	3139	188	3122
sctc_E1R1_40m_I4_CTT1	1	1	40	4	2	147	158	517	254
sctc_E1R1_45m_I1_STL1	1	1	45	1	1	80	2071	172	2027
sctc_E1R1_45m_I1_CTT1	1	1	45	1	2	147	92	69	65936
sctc_E1R1_45m_I2_STL1	1	1	45	2	1	88	3701	165	3732
sctc_E1R1_45m_I2_CTT1	1	1	45	2	2	167	96	216	15246
sctc_E1R1_45m_I3_STL1	1	1	45	3	1	70	2521	188	2491
sctc_E1R1_45m_I3_CTT1	1	1	45	3	2	151	87	130	19656
sctc_E1R1_45m_I4_STL1	1	1	45	4	1	74	3413	194	3028
sctc_E1R1_45m_I4_CTT1	1	1	45	4	2	138	132	88	58331
sctc_E1R1_4m_I1_STL1	1	1	4	1	1	80	461	174	527
sctc_E1R1_4m_I1_CTT1	1	1	4	1	2	134	190	66	79000
sctc_E1R1_4m_I2_STL1	1	1	4	2	1	73	145	194	238
sctc_E1R1_4m_I2_CTT1	1	1	4	2	2	127	196	306	855
sctc_E1R1_4m_I3_STL1	1	1	4	3	1	77	610	210	628
sctc_E1R1_4m_I3_CTT1	1	1	4	3	2	140	153	125	25696
sctc_E1R1_4m_I4_STL1	1	1	4	4	1	79	138	182	212
sctc_E1R1_4m_I4_CTT1	1	1	4	4	2	128	144	232	1767
sctc_E1R1_50m_I1_STL1	1	1	50	1	1	69	1141	161	1017
sctc_E1R1_50m_I1_CTT1	1	1	50	1	2	125	106	113	39375
sctc_E1R1_50m_I2_STL1	1	1	50	2	1	69	1672	178	1632
sctc_E1R1_50m_I2_CTT1	1	1	50	2	2	136	93	129	38302
sctc_E1R1_50m_I3_STL1	1	1	50	3	1	71	1233	161	1253
sctc_E1R1_50m_I3_CTT1	1	1	50	3	2	183	19	94	45099
sctc_E1R1_55m_I1_STL1	1	1	55	1	1	92	2803	214	2625
sctc_E1R1_55m_I1_CTT1	1	1	55	1	2	147	115	67	74423
sctc_E1R1_55m_I2_STL1	1	1	55	2	1	98	4552	245	4418
sctc_E1R1_55m_I2_CTT1	1	1	55	2	2	158	143	71	67571
sctc_E1R1_55m_I3_STL1	1	1	55	3	1	83	4007	147	3608
sctc_E1R1_55m_I3_CTT1	1	1	55	3	2	148	226	302	8843
sctc_E1R1_55m_I4_STL1	1	1	55	4	1	91	3269	234	3037
sctc_E1R1_55m_I4_CTT1	1	1	55	4	2	154	142	126	48014
sctc_E1R1_6m_I1_STL1	1	1	6	1	1	50	568	115	539
sctc_E1R1_6m_I1_CTT1	1	1	6	1	2	131	645	167	437
sctc_E1R1_6m_I2_STL1	1	1	6	2	1	66	38	88	154
sctc_E1R1_6m_I2_CTT1	1	1	6	2	2	106	768	263	369
sctc_E1R1_6m_I3_STL1	1	1	6	3	1	78	1590	111	1316
sctc_E1R1_6m_I3_CTT1	1	1	6	3	2	167	764	146	502
sctc_E1R1_6m_I4_STL1	1	1	6	4	1	80	2111	173	1813
sctc_E1R1_6m_I4_CTT1	1	1	6	4	2	155	1527	163	1010
sctc_E1R1_8m_I1_STL1	1	1	8	1	1	83	8576	250	6657
sctc_E1R1_8m_I1_CTT1	1	1	8	1	2	187	7668	582	566
sctc_E1R1_8m_I2_STL1	1	1	8	2	1	94	7249	140	5469
sctc_E1R1_8m_I2_CTT1	1	1	8	2	2	190	5605	144	3995
sctc_E1R1_8m_I3_STL1	1	1	8	3	1	82	8851	168	6953
sctc_E1R1_8m_I3_CTT1	1	1	8	3	2	228	7166	168	5224
sctc_E1R1_8m_I4_STL1	1	1	8	4	1	79	9232	224	7189
sctc_E1R1_8m_I4_CTT1	1	1	8	4	2	195	7683	155	5508
sctc_E1R2_0m_I1_STL1	1	2	0	1	1	82	270	169	310
sctc_E1R2_0m_I1_CTT1	1	2	0	1	2	139	419	48	90569
sctc_E1R2_0m_I2_STL1	1	2	0	2	1	71	381	183	341
sctc_E1R2_0m_I2_CTT1	1	2	0	2	2	138	556	127	48156
sctc_E1R2_0m_I3_STL1	1	2	0	3	1	80	193	175	232
sctc_E1R2_0m_I3_CTT1	1	2	0	3	2	128	393	94	57753
sctc_E1R2_0m_I4_STL1	1	2	0	4	1	76	468	188	421
sctc_E1R2_0m_I4_CTT1	1	2	0	4	2	142	218	81	72918
sctc_E1R2_10m_I1_STL1	1	2	10	1	1	52	5511	148	4017
sctc_E1R2_10m_I1_CTT1	1	2	10	1	2	165	4230	156	2902
sctc_E1R2_10m_I2_STL1	1	2	10	2	1	80	8347	290	3533
sctc_E1R2_10m_I2_CTT1	1	2	10	2	2	175	5932	59	28807
sctc_E1R2_10m_I3_STL1	1	2	10	3	1	45	7419	168	4344
sctc_E1R2_10m_I3_CTT1	1	2	10	3	2	165	6847	62	28820
sctc_E1R2_10m_I4_STL1	1	2	10	4	1	86	6390	189	4221
sctc_E1R2_10m_I4_CTT1	1	2	10	4	2	168	4351	45	27862
sctc_E1R2_15m_I1_STL1	1	2	15	1	1	79	8295	325	6362
sctc_E1R2_15m_I1_CTT1	1	2	15	1	2	163	6264	170	4464
sctc_E1R2_15m_I2_STL1	1	2	15	2	1	95	5726	240	4384
sctc_E1R2_15m_I2_CTT1	1	2	15	2	2	160	5528	194	3696
sctc_E1R2_15m_I3_STL1	1	2	15	3	1	106	8642	266	7197
sctc_E1R2_15m_I3_CTT1	1	2	15	3	2	180	6751	175	4976
sctc_E1R2_15m_I4_STL1	1	2	15	4	1	68	6706	136	5643
sctc_E1R2_15m_I4_CTT1	1	2	15	4	2	163	5958	216	4499
sctc_E1R2_1m_I1_STL1	1	2	1	1	1	73	148	220	302
sctc_E1R2_1m_I1_CTT1	1	2	1	1	2	141	125	425	698
sctc_E1R2_1m_I2_STL1	1	2	1	2	1	79	141	224	186
sctc_E1R2_1m_I2_CTT1	1	2	1	2	2	141	107	94	66474
sctc_E1R2_1m_I3_STL1	1	2	1	3	1	78	104	215	331
sctc_E1R2_1m_I3_CTT1	1	2	1	3	2	137	106	84	62681
sctc_E1R2_1m_I4_STL1	1	2	1	4	1	90	109	194	145
sctc_E1R2_1m_I4_CTT1	1	2	1	4	2	164	113	514	289
sctc_E1R2_20m_I1_STL1	1	2	20	1	1	110	14521	242	11806
sctc_E1R2_20m_I1_CTT1	1	2	20	1	2	172	4946	353	4037
sctc_E1R2_20m_I2_STL1	1	2	20	2	1	103	14923	269	11564
sctc_E1R2_20m_I2_CTT1	1	2	20	2	2	177	4590	207	28695
sctc_E1R2_20m_I3_STL1	1	2	20	3	1	97	13067	277	10308
sctc_E1R2_20m_I3_CTT1	1	2	20	3	2	184	4310	362	3961
sctc_E1R2_20m_I4_STL1	1	2	20	4	1	89	14069	222	11460
sctc_E1R2_20m_I4_CTT1	1	2	20	4	2	170	4624	430	4467
sctc_E1R2_25m_I1_STL1	1	2	25	1	1	112	1605	219	1599
sctc_E1R2_25m_I1_CTT1	1	2	25	1	2	117	863	143	26527
sctc_E1R2_25m_I2_STL1	1	2	25	2	1	79	1686	234	1691
sctc_E1R2_25m_I2_CTT1	1	2	25	2	2	153	199	199	28758
sctc_E1R2_25m_I3_STL1	1	2	25	3	1	81	969	143	1135
sctc_E1R2_25m_I3_CTT1	1	2	25	3	2	121	321	541	308
sctc_E1R2_25m_I4_STL1	1	2	25	4	1	64	1430	165	1289
sctc_E1R2_25m_I4_CTT1	1	2	25	4	2	149	221	153	29538
sctc_E1R2_2m_I1_STL1	1	2	2	1	1	82	178	252	226
sctc_E1R2_2m_I1_CTT1	1	2	2	1	2	136	180	100	41342
sctc_E1R2_2m_I2_STL1	1	2	2	2	1	80	210	231	322
sctc_E1R2_2m_I2_CTT1	1	2	2	2	2	155	140	124	48408
sctc_E1R2_2m_I3_STL1	1	2	2	3	1	82	151	232	182
sctc_E1R2_2m_I3_CTT1	1	2	2	3	2	127	161	114	45374
sctc_E1R2_2m_I4_STL1	1	2	2	4	1	81	152	248	207
sctc_E1R2_2m_I4_CTT1	1	2	2	4	2	142	165	103	59507
sctc_E1R2_30m_I1_STL1	1	2	30	1	1	97	1217	137	1341
sctc_E1R2_30m_I1_CTT1	1	2	30	1	2	143	105	134	32135
sctc_E1R2_30m_I2_STL1	1	2	30	2	1	68	886	201	784
sctc_E1R2_30m_I2_CTT1	1	2	30	2	2	119	234	119	33440
sctc_E1R2_30m_I3_STL1	1	2	30	3	1	75	570	149	624
sctc_E1R2_30m_I3_CTT1	1	2	30	3	2	141	88	128	30397
sctc_E1R2_30m_I4_STL1	1	2	30	4	1	70	549	159	574
sctc_E1R2_30m_I4_CTT1	1	2	30	4	2	141	45	81	56891
sctc_E1R2_30m_I7_STL1	1	2	30	7	1	66	699	149	635
sctc_E1R2_30m_I7_CTT1	1	2	30	7	2	130	91	114	28734
sctc_E1R2_35m_I1_STL1	1	2	35	1	1	83	3225	178	3059
sctc_E1R2_35m_I1_CTT1	1	2	35	1	2	165	90	137	39305
sctc_E1R2_35m_I2_STL1	1	2	35	2	1	82	2944	176	3015
sctc_E1R2_35m_I2_CTT1	1	2	35	2	2	162	100	120	46665
sctc_E1R2_35m_I3_STL1	1	2	35	3	1	72	1953	178	1938
sctc_E1R2_35m_I3_CTT1	1	2	35	3	2	152	92	601	155
sctc_E1R2_35m_I4_STL1	1	2	35	4	1	72	1934	147	2290
sctc_E1R2_35m_I4_CTT1	1	2	35	4	2	155	75	107	40849
sctc_E1R2_40m_I1_STL1	1	2	40	1	1	87	1316	151	1433
sctc_E1R2_40m_I1_CTT1	1	2	40	1	2	171	35	89	45902
sctc_E1R2_40m_I2_STL1	1	2	40	2	1	73	1761	154	1759
sctc_E1R2_40m_I2_CTT1	1	2	40	2	2	137	147	54	51541
sctc_E1R2_40m_I3_STL1	1	2	40	3	1	75	2162	158	2302
sctc_E1R2_40m_I3_CTT1	1	2	40	3	2	147	119	98	44952
sctc_E1R2_40m_I4_STL1	1	2	40	4	1	72	1814	167	1805
sctc_E1R2_40m_I4_CTT1	1	2	40	4	2	151	97	96	46459
sctc_E1R2_45m_I1_STL1	1	2	45	1	1	70	633	120	656
sctc_E1R2_45m_I1_CTT1	1	2	45	1	2	149	96	88	45562
sctc_E1R2_45m_I2_STL1	1	2	45	2	1	83	512	180	672
sctc_E1R2_45m_I2_CTT1	1	2	45	2	2	141	154	82	50246
sctc_E1R2_45m_I3_STL1	1	2	45	3	1	79	773	125	682
sctc_E1R2_45m_I3_CTT1	1	2	45	3	2	144	71	91	41746
sctc_E1R2_45m_I4_STL1	1	2	45	4	1	73	767	161	710
sctc_E1R2_45m_I4_CTT1	1	2	45	4	2	138	108	103	37728
sctc_E1R2_4m_I1_STL1	1	2	4	1	1	72	327	164	246
sctc_E1R2_4m_I1_CTT1	1	2	4	1	2	175	202	162	97
sctc_E1R2_4m_I2_STL1	1	2	4	2	1	81	493	96	402
sctc_E1R2_4m_I2_CTT1	1	2	4	2	2	193	147	31	36173
sctc_E1R2_4m_I3_STL1	1	2	4	3	1	77	495	183	430
sctc_E1R2_4m_I3_CTT1	1	2	4	3	2	139	85	55	48759
sctc_E1R2_4m_I4_STL1	1	2	4	4	1	83	447	119	410
sctc_E1R2_4m_I4_CTT1	1	2	4	4	2	133	97	36	51532
sctc_E1R2_50m_I1_STL1	1	2	50	1	1	64	331	116	388
sctc_E1R2_50m_I1_CTT1	1	2	50	1	2	98	72	77	37564
sctc_E1R2_50m_I2_STL1	1	2	50	2	1	60	432	137	474
sctc_E1R2_50m_I2_CTT1	1	2	50	2	2	118	154	81	43492
sctc_E1R2_50m_I3_STL1	1	2	50	3	1	70	298	130	320
sctc_E1R2_50m_I3_CTT1	1	2	50	3	2	109	151	78	51612
sctc_E1R2_55m_I1_STL1	1	2	55	1	1	83	1298	185	1427
sctc_E1R2_55m_I1_CTT1	1	2	55	1	2	143	149	58	71905
sctc_E1R2_55m_I2_STL1	1	2	55	2	1	75	1898	161	1936
sctc_E1R2_55m_I2_CTT1	1	2	55	2	2	156	126	93	52238
sctc_E1R2_55m_I3_STL1	1	2	55	3	1	72	1883	160	2096
sctc_E1R2_55m_I3_CTT1	1	2	55	3	2	160	142	70	75522
sctc_E1R2_55m_I4_STL1	1	2	55	4	1	112	1449	138	1743
sctc_E1R2_55m_I4_CTT1	1	2	55	4	2	161	79	81	51315
sctc_E1R2_6m_I1_STL1	1	2	6	1	1	90	1754	99	1410
sctc_E1R2_6m_I1_CTT1	1	2	6	1	2	193	643	137	415
sctc_E1R2_6m_I2_STL1	1	2	6	2	1	103	2554	140	1996
sctc_E1R2_6m_I2_CTT1	1	2	6	2	2	168	1213	198	765
sctc_E1R2_6m_I3_STL1	1	2	6	3	1	88	2565	152	2213
sctc_E1R2_6m_I3_CTT1	1	2	6	3	2	174	1041	196	673
sctc_E1R2_6m_I4_STL1	1	2	6	4	1	80	2535	103	2348
sctc_E1R2_6m_I4_CTT1	1	2	6	4	2	177	931	133	553
sctc_E1R2_8m_I1_STL1	1	2	8	1	1	82	2625	99	2028
sctc_E1R2_8m_I1_CTT1	1	2	8	1	2	163	1445	97	1046
sctc_E1R2_8m_I2_STL1	1	2	8	2	1	104	3295	92	2437
sctc_E1R2_8m_I2_CTT1	1	2	8	2	2	158	1857	31	31607
sctc_E1R2_8m_I3_STL1	1	2	8	3	1	93	2979	99	2141
sctc_E1R2_8m_I3_CTT1	1	2	8	3	2	152	2040	195	1209
sctc_E1R2_8m_I4_STL1	1	2	8	4	1	92	3281	109	2351
sctc_E1R2_8m_I4_CTT1	1	2	8	4	2	160	1710	137	1056
sctc_E2R1_0m_I1_STL1	2	1	0	1	1	95	405	198	507
sctc_E2R1_0m_I1_CTT1	2	1	0	1	2	133	144	139	43414
sctc_E2R1_0m_I2_STL1	2	1	0	2	1	83	389	197	444
sctc_E2R1_0m_I2_CTT1	2	1	0	2	2	130	156	119	41065
sctc_E2R1_0m_I3_STL1	2	1	0	3	1	76	146	188	182
sctc_E2R1_0m_I3_CTT1	2	1	0	3	2	132	108	98	41993
sctc_E2R1_0m_I4_STL1	2	1	0	4	1	68	203	169	244
sctc_E2R1_0m_I4_CTT1	2	1	0	4	2	126	72	88	43027
sctc_E2R1_10m_I1_STL1	2	1	10	1	1	77	22281	644	716
sctc_E2R1_10m_I1_CTT1	2	1	10	1	2	214	21329	622	912
sctc_E2R1_10m_I2_STL1	2	1	10	2	1	111	16252	639	833
sctc_E2R1_10m_I2_CTT1	2	1	10	2	2	158	16836	71	39045
sctc_E2R1_10m_I3_STL1	2	1	10	3	1	110	22625	593	711
sctc_E2R1_10m_I3_CTT1	2	1	10	3	2	167	23329	587	854
sctc_E2R1_10m_I4_STL1	2	1	10	4	1	112	17105	187	12292
sctc_E2R1_10m_I4_CTT1	2	1	10	4	2	146	18351	464	1003
sctc_E2R1_15m_I1_STL1	2	1	15	1	1	86	26436	280	11525
sctc_E2R1_15m_I1_CTT1	2	1	15	1	2	134	26233	63	39831
sctc_E2R1_15m_I2_STL1	2	1	15	2	1	105	40737	906	1502
sctc_E2R1_15m_I2_CTT1	2	1	15	2	2	146	41638	781	1264
sctc_E2R1_15m_I3_STL1	2	1	15	3	1	104	35625	395	13358
sctc_E2R1_15m_I3_CTT1	2	1	15	3	2	166	35812	726	1748
sctc_E2R1_15m_I4_STL1	2	1	15	4	1	84	27008	220	14586
sctc_E2R1_15m_I4_CTT1	2	1	15	4	2	119	27707	49	40729
sctc_E2R1_15m_I5_STL1	2	1	15	5	1	102	31990	322	11346
sctc_E2R1_15m_I5_CTT1	2	1	15	5	2	146	31891	818	1446
sctc_E2R1_15m_I6_STL1	2	1	15	6	1	108	10612	315	5616
sctc_E2R1_15m_I6_CTT1	2	1	15	6	2	135	11424	498	1670
sctc_E2R1_15m_I7_STL1	2	1	15	7	1	101	20219	317	8956
sctc_E2R1_15m_I7_CTT1	2	1	15	7	2	138	20138	592	1534
sctc_E2R1_15m_I8_STL1	2	1	15	8	1	108	9500	295	5710
sctc_E2R1_15m_I8_CTT1	2	1	15	8	2	149	10187	296	3941
sctc_E2R1_15m_I9_STL1	2	1	15	9	1	86	33153	589	3732
sctc_E2R1_15m_I9_CTT1	2	1	15	9	2	113	35902	715	1731
sctc_E2R1_1m_I1_STL1	2	1	1	1	1	89	250	183	288
sctc_E2R1_1m_I1_CTT1	2	1	1	1	2	135	242	97	56110
sctc_E2R1_1m_I2_STL1	2	1	1	2	1	72	177	153	215
sctc_E2R1_1m_I2_CTT1	2	1	1	2	2	116	211	98	37644
sctc_E2R1_1m_I3_STL1	2	1	1	3	1	74	430	177	495
sctc_E2R1_1m_I3_CTT1	2	1	1	3	2	135	358	87	73911
sctc_E2R1_1m_I4_STL1	2	1	1	4	1	79	551	186	638
sctc_E2R1_1m_I4_CTT1	2	1	1	4	2	133	356	104	62279
sctc_E2R1_1m_I5_STL1	2	1	1	5	1	77	484	175	513
sctc_E2R1_1m_I5_CTT1	2	1	1	5	2	134	276	102	54043
sctc_E2R1_1m_I6_STL1	2	1	1	6	1	75	189	162	215
sctc_E2R1_1m_I6_CTT1	2	1	1	6	2	118	221	96	44300
sctc_E2R1_20m_I1_STL1	2	1	20	1	1	121	28264	292	10377
sctc_E2R1_20m_I1_CTT1	2	1	20	1	2	166	27629	824	1248
sctc_E2R1_20m_I2_STL1	2	1	20	2	1	113	44794	973	1302
sctc_E2R1_20m_I2_CTT1	2	1	20	2	2	166	42372	70	50298
sctc_E2R1_20m_I3_STL1	2	1	20	3	1	99	35769	887	1398
sctc_E2R1_20m_I3_CTT1	2	1	20	3	2	154	35505	864	1011
sctc_E2R1_20m_I4_STL1	2	1	20	4	1	132	29862	354	10473
sctc_E2R1_20m_I4_CTT1	2	1	20	4	2	169	27700	691	1888
sctc_E2R1_20m_I5_STL1	2	1	20	5	1	73	32628	179	29092
sctc_E2R1_20m_I5_CTT1	2	1	20	5	2	171	31310	756	1560
sctc_E2R1_25m_I1_STL1	2	1	25	1	1	120	40601	82	30518
sctc_E2R1_25m_I1_CTT1	2	1	25	1	2	165	31425	826	927
sctc_E2R1_25m_I2_STL1	2	1	25	2	1	110	42780	125	32091
sctc_E2R1_25m_I2_CTT1	2	1	25	2	2	160	29566	798	2999
sctc_E2R1_25m_I3_STL1	2	1	25	3	1	103	41798	168	28704
sctc_E2R1_25m_I3_CTT1	2	1	25	3	2	159	29199	279	11513
sctc_E2R1_25m_I4_STL1	2	1	25	4	1	96	35159	235	21888
sctc_E2R1_25m_I4_CTT1	2	1	25	4	2	164	28232	224	15024
sctc_E2R1_2m_I1_STL1	2	1	2	1	1	72	117	174	139
sctc_E2R1_2m_I1_CTT1	2	1	2	1	2	126	87	95	41450
sctc_E2R1_2m_I2_STL1	2	1	2	2	1	71	143	190	153
sctc_E2R1_2m_I2_CTT1	2	1	2	2	2	140	86	95	39613
sctc_E2R1_2m_I3_STL1	2	1	2	3	1	76	415	160	502
sctc_E2R1_2m_I3_CTT1	2	1	2	3	2	141	160	72	41728
sctc_E2R1_2m_I4_STL1	2	1	2	4	1	77	182	158	256
sctc_E2R1_2m_I4_CTT1	2	1	2	4	2	118	101	104	48174
sctc_E2R1_30m_I1_STL1	2	1	30	1	1	109	11200	294	7644
sctc_E2R1_30m_I1_CTT1	2	1	30	1	2	116	3709	100	29787
sctc_E2R1_30m_I2_STL1	2	1	30	2	1	136	14675	336	10285
sctc_E2R1_30m_I2_CTT1	2	1	30	2	2	123	5176	140	31111
sctc_E2R1_30m_I3_STL1	2	1	30	3	1	105	9939	330	7290
sctc_E2R1_30m_I3_CTT1	2	1	30	3	2	127	3030	141	31106
sctc_E2R1_30m_I4_STL1	2	1	30	4	1	105	9810	335	6705
sctc_E2R1_30m_I4_CTT1	2	1	30	4	2	124	3451	224	2736
sctc_E2R1_35m_I1_STL1	2	1	35	1	1	126	7508	231	4915
sctc_E2R1_35m_I1_CTT1	2	1	35	1	2	136	685	128	29737
sctc_E2R1_35m_I2_STL1	2	1	35	2	1	127	13529	250	8346
sctc_E2R1_35m_I2_CTT1	2	1	35	2	2	131	1528	140	32343
sctc_E2R1_35m_I3_STL1	2	1	35	3	1	113	12364	216	7792
sctc_E2R1_35m_I3_CTT1	2	1	35	3	2	135	1427	48	35259
sctc_E2R1_35m_I4_STL1	2	1	35	4	1	109	17752	181	14063
sctc_E2R1_35m_I4_CTT1	2	1	35	4	2	146	1701	118	31290
sctc_E2R1_40m_I1_STL1	2	1	40	1	1	111	5955	192	4124
sctc_E2R1_40m_I1_CTT1	2	1	40	1	2	128	198	123	31985
sctc_E2R1_40m_I2_STL1	2	1	40	2	1	109	6664	193	4753
sctc_E2R1_40m_I2_CTT1	2	1	40	2	2	134	266	127	31817
sctc_E2R1_40m_I3_STL1	2	1	40	3	1	108	6021	198	4589
sctc_E2R1_40m_I3_CTT1	2	1	40	3	2	140	170	158	32179
sctc_E2R1_40m_I4_STL1	2	1	40	4	1	105	9849	263	7581
sctc_E2R1_40m_I4_CTT1	2	1	40	4	2	147	281	417	304
sctc_E2R1_45m_I1_STL1	2	1	45	1	1	94	4047	184	3268
sctc_E2R1_45m_I1_CTT1	2	1	45	1	2	126	204	53	36493
sctc_E2R1_45m_I2_STL1	2	1	45	2	1	79	5494	212	4253
sctc_E2R1_45m_I2_CTT1	2	1	45	2	2	141	104	53	40618
sctc_E2R1_45m_I3_STL1	2	1	45	3	1	92	5907	271	4035
sctc_E2R1_45m_I3_CTT1	2	1	45	3	2	134	130	111	34838
sctc_E2R1_45m_I4_STL1	2	1	45	4	1	82	4982	244	3467
sctc_E2R1_45m_I4_CTT1	2	1	45	4	2	116	160	108	33064
