IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R1_0m_I1_STL1	1	1	0	1	1	94	443	190	417
sctc_E1R1_0m_I1_CTT1	1	1	0	1	2	128	297	339	508
sctc_E1R1_0m_I2_STL1	1	1	0	2	1	83	196	175	231
sctc_E1R1_0m_I2_CTT1	1	1	0	2	2	120	494	296	874
sctc_E1R1_0m_I3_STL1	1	1	0	3	1	75	371	171	365
sctc_E1R1_0m_I3_CTT1	1	1	0	3	2	136	557	394	664
sctc_E1R1_0m_I4_STL1	1	1	0	4	1	67	287	169	310
sctc_E1R1_0m_I4_CTT1	1	1	0	4	2	147	349	46	82815
sctc_E1R1_10m_I1_STL1	1	1	10	1	1	88	4139	169	3166
sctc_E1R1_10m_I1_CTT1	1	1	10	1	2	188	4465	141	2979
sctc_E1R1_10m_I2_STL1	1	1	10	2	1	86	3081	161	2489
sctc_E1R1_10m_I2_CTT1	1	1	10	2	2	142	3242	147	2166
sctc_E1R1_10m_I3_STL1	1	1	10	3	1	81	3547	163	2948
sctc_E1R1_10m_I3_CTT1	1	1	10	3	2	163	3752	150	2773
sctc_E1R1_10m_I4_STL1	1	1	10	4	1	83	4020	163	3372
sctc_E1R1_10m_I4_CTT1	1	1	10	4	2	192	4921	179	3296
sctc_E1R1_15m_I1_STL1	1	1	15	1	1	93	4490	254	4205
sctc_E1R1_15m_I1_CTT1	1	1	15	1	2	210	5004	169	4122
sctc_E1R1_15m_I2_STL1	1	1	15	2	1	85	7400	215	7639
sctc_E1R1_15m_I2_CTT1	1	1	15	2	2	199	5930	176	5405
sctc_E1R1_15m_I3_STL1	1	1	15	3	1	109	6600	217	5305
sctc_E1R1_15m_I3_CTT1	1	1	15	3	2	181	5834	142	4372
sctc_E1R1_15m_I4_STL1	1	1	15	4	1	92	7157	224	5429
sctc_E1R1_15m_I4_CTT1	1	1	15	4	2	194	6749	181	5185
sctc_E1R1_1m_I1_STL1	1	1	1	1	1	72	164	176	216
sctc_E1R1_1m_I1_CTT1	1	1	1	1	2	125	160	299	595
sctc_E1R1_1m_I2_STL1	1	1	1	2	1	74	93	204	106
sctc_E1R1_1m_I2_CTT1	1	1	1	2	2	122	131	100	38888
sctc_E1R1_1m_I3_STL1	1	1	1	3	1	81	329	151	400
sctc_E1R1_1m_I3_CTT1	1	1	1	3	2	148	137	357	383
sctc_E1R1_1m_I4_STL1	1	1	1	4	1	74	114	191	141
sctc_E1R1_1m_I4_CTT1	1	1	1	4	2	129	108	271	944
sctc_E1R1_20m_I1_STL1	1	1	20	1	1	116	10941	223	9656
sctc_E1R1_20m_I1_CTT1	1	1	20	1	2	176	4234	303	3817
sctc_E1R1_20m_I2_STL1	1	1	20	2	1	89	10263	260	7990
sctc_E1R1_20m_I2_CTT1	1	1	20	2	2	166	4201	393	3898
sctc_E1R1_20m_I3_STL1	1	1	20	3	1	102	8834	213	8070
sctc_E1R1_20m_I3_CTT1	1	1	20	3	2	164	3355	385	3176
sctc_E1R1_20m_I4_STL1	1	1	20	4	1	86	9467	267	8461
sctc_E1R1_20m_I4_CTT1	1	1	20	4	2	166	4575	287	4126
sctc_E1R1_25m_I1_STL1	1	1	25	1	1	74	3975	249	3679
sctc_E1R1_25m_I1_CTT1	1	1	25	1	2	143	565	172	29287
sctc_E1R1_25m_I2_STL1	1	1	25	2	1	75	3244	210	3421
sctc_E1R1_25m_I2_CTT1	1	1	25	2	2	149	412	163	31221
sctc_E1R1_25m_I3_STL1	1	1	25	3	1	70	2914	198	2810
sctc_E1R1_25m_I3_CTT1	1	1	25	3	2	129	435	551	463
sctc_E1R1_25m_I4_STL1	1	1	25	4	1	70	3169	210	2926
sctc_E1R1_25m_I4_CTT1	1	1	25	4	2	145	406	659	430
sctc_E1R1_2m_I1_STL1	1	1	2	1	1	65	80	161	96
sctc_E1R1_2m_I1_CTT1	1	1	2	1	2	109	135	261	507
sctc_E1R1_2m_I2_STL1	1	1	2	2	1	76	78	164	100
sctc_E1R1_2m_I2_CTT1	1	1	2	2	2	109	114	204	388
sctc_E1R1_2m_I3_STL1	1	1	2	3	1	70	166	155	186
sctc_E1R1_2m_I3_CTT1	1	1	2	3	2	116	76	43	84286
sctc_E1R1_2m_I4_STL1	1	1	2	4	1	79	208	169	239
sctc_E1R1_2m_I4_CTT1	1	1	2	4	2	121	146	72	55399
sctc_E1R1_30m_I1_STL1	1	1	30	1	1	73	5853	204	5846
sctc_E1R1_30m_I1_CTT1	1	1	30	1	2	154	280	94	55240
sctc_E1R1_30m_I2_STL1	1	1	30	2	1	76	6515	194	6443
sctc_E1R1_30m_I2_CTT1	1	1	30	2	2	186	223	495	394
sctc_E1R1_30m_I3_STL1	1	1	30	3	1	80	5698	180	6380
