IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_c335275c	1	1196	338	227	470	1164	917	1366
simvarmass_CY5L_c399cc8f	1	2080	205	176	1204	1886	1325	1877
simvarmass_CY5L_c39aeae8	1	1657	122	159	1340	1558	1038	1534
simvarmass_CY5L_c611a3c6	1	1510	283	99	813	1426	1151	1414
simvarmass_CY5L_c618c353	1	2386	104	127	1907	2138	1360	2127
simvarmass_CY5L_c761edd0	1	938	34	117	836	882	701	876
simvarmass_CY5L_c7c630f9	1	699	30	223	648	675	541	778
simvarmass_CY5L_ca22dc6d	1	369	26	169	338	355	241	352
simvarmass_CY5L_cad0905c	1	1968	210	128	1365	1821	1472	1813
simvarmass_CY5L_cafb1423	1	325	22	136	281	292	192	291
simvarmass_CY5L_cbaf43a3	1	663	29	166	618	635	390	633
simvarmass_CY5L_cc3478bc	1	347	30	436	327	347	218	7037
simvarmass_CY5L_ccdde8b6	1	2414	538	197	230	2224	1699	2244
simvarmass_CY5L_cd845f0f	1	1327	299	150	787	1267	1105	1257
simvarmass_CY5L_ceaa7951	1	134	31	218	127	133	103	184
simvarmass_CY5L_ced48015	1	2405	325	370	968	2227	1763	6845
simvarmass_CY5L_d0884605	1	1254	345	172	481	1190	909	1183
simvarmass_CY5L_d0f3ce7f	1	870	38	194	805	834	616	842
simvarmass_CY5L_d20eccaf	1	657	395	116	165	640	469	636
simvarmass_CY5L_d2a6c082	1	1101	25	144	987	1029	819	1026
simvarmass_CY5L_d477463f	1	887	26	160	817	855	668	846
simvarmass_CY5L_d4f5fc46	1	2430	149	140	1640	2143	1398	2128
simvarmass_CY5L_d52169a1	1	2059	237	139	1349	1898	1566	1883
simvarmass_CY5L_d67250cf	1	1540	210	315	801	1466	911	3494
simvarmass_CY5L_d7fd035a	1	524	38	276	487	512	362	1387
simvarmass_CY5L_d8102e43	1	1210	198	286	821	1165	861	2166
simvarmass_CY5L_d96fa1fa	1	699	26	166	641	664	397	660
simvarmass_CY5L_d9d7d7f1	1	1372	58	188	1249	1298	897	1299
simvarmass_CY5L_d9fc6491	1	2133	433	130	666	1977	1622	1966
simvarmass_CY5L_daa12408	1	2079	216	158	1152	1905	1293	1885
simvarmass_CY5L_dcbae292	1	1614	202	313	1002	1530	1073	3614
simvarmass_CY5L_dcd5f12f	1	1392	188	383	1063	1343	1066	7058
simvarmass_CY5L_dd038fa8	1	835	28	167	759	792	667	789
simvarmass_CY5L_df41bc25	1	1359	31	325	1238	1307	921	4623
simvarmass_CY5L_e158d5e9	1	1562	31	203	1382	1434	1138	1472
simvarmass_CY5L_e2d3c3ee	1	1126	36	168	1047	1081	976	1076
simvarmass_CY5L_e310b86e	1	651	33	247	597	648	435	1059
simvarmass_CY5L_e327cde7	1	856	36	178	786	833	593	828
simvarmass_CY5L_e3dfe44b	1	660	32	180	613	644	512	642
simvarmass_CY5L_e4216685	1	2422	364	111	712	2159	1692	2153
simvarmass_CY5L_e5434f9d	1	2197	402	123	738	2026	1674	2011
simvarmass_CY5L_e7479ac8	1	1290	455	133	416	1228	1005	1218
simvarmass_CY5L_e74aa8b1	1	72	42	206	63	65	49	77
simvarmass_CY5L_e89f6af0	1	1479	202	139	1060	1383	1112	1372
simvarmass_CY5L_e9a827f8	1	553	23	182	516	537	402	536
simvarmass_CY5L_e9b710b2	1	793	24	129	725	751	536	747
simvarmass_CY5L_ea8843b2	1	1510	206	131	836	1394	923	1389
simvarmass_CY5L_ec34d5b0	1	1340	619	114	168	1275	1032	1263
simvarmass_CY5L_ec47a6ad	1	361	24	172	321	333	242	333
simvarmass_CY5L_ec97f39a	1	2042	440	170	641	1903	1696	1897
simvarmass_CY5L_ef9dfecd	1	2261	408	337	487	2043	1378	4038
simvarmass_CY5L_efb30c9a	1	562	24	253	526	552	397	985
simvarmass_CY5L_f09f925c	1	924	27	160	840	886	680	880
simvarmass_CY5L_f16c4f04	1	969	359	117	284	909	673	905
simvarmass_CY5L_f3ca3027	1	918	212	134	503	880	582	871
simvarmass_CY5L_f4101ca1	1	1003	431	141	271	959	814	955
simvarmass_CY5L_f57370ec	1	1764	141	232	1487	1649	1308	1934
simvarmass_CY5L_f597b922	1	2216	219	216	1535	2071	1713	2177
simvarmass_CY5L_f687367f	1	263	21	100	221	233	200	231
simvarmass_CY5L_f71f2ae3	1	264	36	224	242	263	201	442
simvarmass_CY5L_fa5eacdd	1	1683	156	87	1130	1540	960	1533
simvarmass_CY5L_fa6ac544	1	2158	218	119	1263	1955	1410	1934
