GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
1	Xist	Xist	0	0	0	862	NeuertLab	Fixed	FALSE	0.671250356867786	0.0692672736895646	0.930082609200596	0	0.920475081020838	0.938566566328245	0.919227343853229	0
2	Xist	Xist	0	0	0	862	NeuertLab	Fixed	TRUE	0.728109409971724	0.0709910740696198	0.925159748873747	0	0.914905582040558	0.934220700190411	0.89679099992131	8.48560142962561e-307
3	Xist	Xist	0	0	0	862	NeuertLab	Variable	FALSE	0.777413418639741	0.552301881947634	0.888085731327964	1.57057419843031e-292	0.873086771718435	0.901405378263887	0.738087439776055	4.01840772423963e-149
4	Xist	Xist	0	0	0	862	NeuertLab	Variable	TRUE	0.850205692691708	0.475757459078227	0.875463418476983	8.06407326456919e-274	0.858899214797071	0.890197964703411	0.709974099786485	4.13184101543756e-133
5	Xist	Xist	0	0	0	862	Big-FISH	Fixed	FALSE	0.140589514964228	0.138632463251386	0.57825498548031	4.56155324831531e-78	0.532023984198096	0.6210485551343	0.762236803888624	1.26455551293145e-164
6	Xist	Xist	0	0	0	862	Big-FISH	Fixed	TRUE	0.256279524301641	0.0619694211753842	0.723943409290046	3.69471785744577e-130	0.689121848835331	0.755429337114851	0.766715113379714	5.53310901751461e-155
7	Xist	Xist	0	0	0	862	Big-FISH	Variable	FALSE	0.517665581167484	0.0908053255480673	0.765562561969788	6.63074474312368e-167	0.736435056688709	0.791856935786115	0.741950105643858	1.74469766135822e-151
8	Xist	Xist	0	0	0	862	Big-FISH	Variable	TRUE	0.615519853850597	0.119158996853125	0.779946871986694	9.00550549715873e-164	0.751169908764206	0.805764942763168	0.73911403827521	2.10815133543848e-138
9	Tsix	Tsix	0	0	0	862	NeuertLab	Fixed	FALSE	0.491313349235595	0.781422287987838	0.818672162422264	2.26639056327679e-209	0.795378473363921	0.839551123195078	0.826726840806876	4.90996244579676e-217
10	Tsix	Tsix	0	0	0	862	NeuertLab	Fixed	TRUE	0.590433470849379	0.438319156873085	0.844910668846533	6.71701304000352e-236	0.824662661676783	0.862995996389829	0.901525900321598	4.18700944358207e-315
11	Tsix	Tsix	0	0	0	862	NeuertLab	Variable	FALSE	0.319637192452948	0.168529642866195	0.539866919377043	2.28412355629934e-66	0.490785578598222	0.585532733431916	0.55489085592015	9.13681689206784e-71
12	Tsix	Tsix	0	0	0	862	NeuertLab	Variable	TRUE	0.547148412833353	0.551344255462652	0.507926020882295	1.00882130962278e-57	0.456639839749908	0.555847471114354	0.562378876429556	4.82887940395231e-73
13	Tsix	Tsix	0	0	0	862	Big-FISH	Fixed	FALSE	0.342429528941515	0.703036799442228	0.658417037360603	3.0696358860965e-108	0.61885115119168	0.694650418146826	0.675794419637625	4.69764005392416e-116
14	Tsix	Tsix	0	0	0	862	Big-FISH	Fixed	TRUE	0.457304996375477	0.3363825792617	0.728941488785168	9.06150027160636e-137	0.695171279537147	0.759501267499502	0.777979602834174	2.81095837514559e-167
15	Tsix	Tsix	0	0	0	862	Big-FISH	Variable	FALSE	0.00173564107875257	2.67112214663162	0.121973603986541	0.000331518262294163	0.0556532782290046	0.187222350085672	0.420844698479877	2.5412118872506e-38
16	Tsix	Tsix	0	0	0	862	Big-FISH	Variable	TRUE	0.0457752692854387	1.94736360165255	0.299611900391693	1.80719320766436e-18	0.235989415503992	0.360676750438815	0.567289780327861	5.14299874055125e-71
17	H3K36me3	H3K36me3	0	0	0	567	NeuertLab	Fixed	FALSE	0.0500299866898584	-0.287254587180857	0.619209591456561	2.53848547735015e-61	0.565711150417354	0.667517218860606	0.5936372708426	2.7797232227235e-55
