IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R1_8m_I4_STL1	1	1	8	4	1	80	9219	224	7189
sctc_E1R1_8m_I4_CTT1	1	1	8	4	2	155	7988	155	5508
sctc_E1R2_0m_I1_STL1	1	2	0	1	1	81	270	169	310
sctc_E1R2_0m_I1_CTT1	1	2	0	1	2	144	370	48	90569
sctc_E1R2_0m_I2_STL1	1	2	0	2	1	72	378	183	341
sctc_E1R2_0m_I2_CTT1	1	2	0	2	2	134	615	127	48156
sctc_E1R2_0m_I3_STL1	1	2	0	3	1	83	193	175	232
sctc_E1R2_0m_I3_CTT1	1	2	0	3	2	127	411	94	57753
sctc_E1R2_0m_I4_STL1	1	2	0	4	1	74	468	188	421
sctc_E1R2_0m_I4_CTT1	1	2	0	4	2	130	292	81	72918
sctc_E1R2_10m_I1_STL1	1	2	10	1	1	52	5511	148	4017
sctc_E1R2_10m_I1_CTT1	1	2	10	1	2	165	4230	156	2902
sctc_E1R2_10m_I2_STL1	1	2	10	2	1	78	8374	290	3533
sctc_E1R2_10m_I2_CTT1	1	2	10	2	2	168	6002	59	28807
sctc_E1R2_10m_I3_STL1	1	2	10	3	1	46	7308	168	4344
sctc_E1R2_10m_I3_CTT1	1	2	10	3	2	169	6825	62	28820
sctc_E1R2_10m_I4_STL1	1	2	10	4	1	82	6408	189	4221
sctc_E1R2_10m_I4_CTT1	1	2	10	4	2	154	4509	45	27862
sctc_E1R2_15m_I1_STL1	1	2	15	1	1	85	8241	325	6362
sctc_E1R2_15m_I1_CTT1	1	2	15	1	2	164	6259	170	4464
sctc_E1R2_15m_I2_STL1	1	2	15	2	1	88	5767	240	4384
sctc_E1R2_15m_I2_CTT1	1	2	15	2	2	156	5569	194	3696
sctc_E1R2_15m_I3_STL1	1	2	15	3	1	100	8664	266	7197
sctc_E1R2_15m_I3_CTT1	1	2	15	3	2	179	6763	175	4976
sctc_E1R2_15m_I4_STL1	1	2	15	4	1	66	6780	136	5643
sctc_E1R2_15m_I4_CTT1	1	2	15	4	2	162	5972	216	4499
sctc_E1R2_1m_I1_STL1	1	2	1	1	1	74	147	220	302
sctc_E1R2_1m_I1_CTT1	1	2	1	1	2	141	125	425	698
sctc_E1R2_1m_I2_STL1	1	2	1	2	1	77	142	224	186
sctc_E1R2_1m_I2_CTT1	1	2	1	2	2	142	105	94	66474
sctc_E1R2_1m_I3_STL1	1	2	1	3	1	78	104	215	331
sctc_E1R2_1m_I3_CTT1	1	2	1	3	2	140	87	84	62681
sctc_E1R2_1m_I4_STL1	1	2	1	4	1	83	116	194	145
sctc_E1R2_1m_I4_CTT1	1	2	1	4	2	161	119	514	289
sctc_E1R2_20m_I1_STL1	1	2	20	1	1	108	14531	242	11806
sctc_E1R2_20m_I1_CTT1	1	2	20	1	2	179	4877	353	4037
sctc_E1R2_20m_I2_STL1	1	2	20	2	1	97	14988	269	11564
sctc_E1R2_20m_I2_CTT1	1	2	20	2	2	177	4590	207	28695
sctc_E1R2_20m_I3_STL1	1	2	20	3	1	98	13059	277	10308
sctc_E1R2_20m_I3_CTT1	1	2	20	3	2	179	4340	362	3961
sctc_E1R2_20m_I4_STL1	1	2	20	4	1	87	14096	222	11460
sctc_E1R2_20m_I4_CTT1	1	2	20	4	2	179	4542	430	4467
sctc_E1R2_25m_I1_STL1	1	2	25	1	1	101	1616	219	1599
sctc_E1R2_25m_I1_CTT1	1	2	25	1	2	115	929	143	26527
sctc_E1R2_25m_I2_STL1	1	2	25	2	1	74	1707	234	1691
sctc_E1R2_25m_I2_CTT1	1	2	25	2	2	135	316	199	28758
sctc_E1R2_25m_I3_STL1	1	2	25	3	1	78	975	143	1135
sctc_E1R2_25m_I3_CTT1	1	2	25	3	2	112	469	541	308
