IMGNAME	GROUP_A	GROUP_B	THVAL_HB	SPOTS_HB	FSCORE_HB	THVAL_BF	SPOTS_BF	FSCORE_BF
mESC4d_Tsix-AF594	TsixE_AF594	mESC4d_Tsix	76	335	NaN	151	318	NaN
mESC4d_Xist-CY5	XistE_CY5	XistE_Hi	64	316	NaN	130	340	NaN
scrna_E1R2I4_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	93	6356	NaN	150	4608	NaN
scrna_E1R2I4_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	236	4049	NaN	113	2860	NaN
scrna_E2R1I2_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	113	16222	NaN	638	810	NaN
scrna_E2R1I2_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	184	16188	NaN	551	705	NaN
scrna_E2R2I3_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	94	2841	NaN	193	2439	NaN
scrna_E2R2I3_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	115	3226	NaN	273	2285	NaN
scrna_E2R2I5_STL1	CTT1_CY5_Smpl	CTT1_CY5_Smpl	101	2846	NaN	201	2230	NaN
scrna_E2R2I5_CTT1	STL1_TMR_Smpl	STL1_TMR_Smpl	112	2618	NaN	317	1905	NaN
mESC_loday_D0I18_Xist	XistE_CY5	XistE_Lo	59	109	NaN	150	136	NaN
mESC_loday_D0I18_Tsix	TsixE_TMR	TsixE_loday	124	344	NaN	287	273	NaN
mESC_loday_D0I04_Xist	XistE_CY5	XistE_Lo	48	26	NaN	152	88	NaN
mESC_loday_D0I04_Tsix	TsixE_TMR	TsixE_loday	114	411	NaN	192	356	NaN
mESC_loday_D0I29_Xist	XistE_CY5	XistE_Lo	57	197	NaN	132	271	NaN
mESC_loday_D0I29_Tsix	TsixE_TMR	TsixE_loday	124	244	NaN	264	292	NaN
mESC_loday_D0I40_Xist	XistE_CY5	XistE_Lo	50	103	NaN	158	118	NaN
mESC_loday_D0I40_Tsix	TsixE_TMR	TsixE_loday	110	477	NaN	244	383	NaN
mESC_loday_DHI07_Xist	XistE_CY5	XistE_Lo	65	29	NaN	164	71	NaN
mESC_loday_DHI07_Tsix	TsixE_TMR	TsixE_loday	133	240	NaN	147	186	NaN
mESC_loday_DHI32_Xist	XistE_CY5	XistE_Lo	53	21	NaN	137	94	NaN
mESC_loday_DHI32_Tsix	TsixE_TMR	TsixE_loday	116	154	NaN	181	156	NaN
mESC_loday_D1I02_Xist	XistE_CY5	XistE_Hi	61	115	NaN	53	241	NaN
mESC_loday_D1I02_Tsix	TsixE_TMR	TsixE_loday	111	511	NaN	204	387	NaN
mESC_loday_D1I15_Xist	XistE_CY5	XistE_Hi	65	284	NaN	137	262	NaN
mESC_loday_D1I15_Tsix	TsixE_TMR	TsixE_loday	109	545	NaN	256	279	NaN
mESC_loday_D1I32_Xist	XistE_CY5	XistE_Hi	38	293	NaN	98	373	NaN
mESC_loday_D1I32_Tsix	TsixE_TMR	TsixE_loday	113	557	NaN	174	371	NaN
scprotein_Msb2_2M1m	Msb2	Msb2	123	809	NaN	221	16835	NaN
scprotein_Msb2_2M5m	Msb2	Msb2	127	1718	NaN	5	32507	NaN
scprotein_Msb2_4M1m	Msb2	Msb2	108	854	NaN	782	1372	NaN
scprotein_Msb2_4M5m	Msb2	Msb2	137	809	NaN	246	16129	NaN
scprotein_Msb2_NoSalt	Msb2	Msb2	120	269	NaN	728	682	NaN
scprotein_Opy2_2M1m	Opy2	Opy2	112	348	NaN	289	26638	NaN
scprotein_Opy2_2M5m	Opy2	Opy2	113	181	NaN	88	39149	NaN
scprotein_Opy2_4M1m	Opy2	Opy2	109	256	NaN	33	41607	NaN
scprotein_Opy2_4M5m	Opy2	Opy2	106	299	NaN	863	758	NaN
scprotein_Opy2_NoSalt	Opy2	Opy2	122	242	NaN	55	34416	NaN
sim_mESC_histone_100x_1	SimBig	SimBig	95	9433	0.971673	364	9877	0.966566
sim_mESC_histone_100x_2	SimBig	SimBig	96	9402	0.977378	422	9786	0.974252
sim_mESC_histone_100x_3	SimBig	SimBig	92	9496	0.976142	340	9919	0.970359
sim_mESC_RNA_100x_1	SimBig	SimBig	26	159	0.682403	61	156	0.673866
sim_mESC_RNA_100x_2	SimBig	SimBig	161	210	0.840000	65	211	0.842315
sim_mESC_RNA_100x_3	SimBig	SimBig	133	145	0.692124	58	146	0.690476
sim_mESC_RNA_LE_100x_1	SimBig	SimBig	85	37	0.804348	87	39	0.808511
sim_mESC_RNA_LE_100x_2	SimBig	SimBig	25	33	0.825000	90	35	0.829268
sim_mESC_RNA_LE_100x_3	SimBig	SimBig	27	47	0.969072	220	49	0.969697
sim_mESC_RNA_LEHB_100x_1	SimBig	SimBig	126	47	0.893204	658	80	0.676471
sim_mESC_RNA_LEHB_100x_2	SimBig	SimBig	126	34	0.790698	556	49	0.673267
sim_mESC_RNA_LEHB_100x_3	SimBig	SimBig	102	210	NaN	565	37	NaN
sim_mESC_RNA_TMRLike_100x_1	SimBig	SimBig	430	360	0.837209	69	364	0.840278
sim_mESC_RNA_TMRLike_100x_2	SimBig	SimBig	466	387	0.894798	66	392	0.898851
sim_mESC_RNA_TMRLike_100x_3	SimBig	SimBig	70	342	0.859296	68	351	0.869565
sim_yeast_proteinGFP_100x_1	SimBig	SimBig	49	2958	0.753280	523	3566	0.833195
sim_yeast_proteinGFP_100x_2	SimBig	SimBig	50	3116	0.772823	304	3755	0.849252
sim_yeast_proteinGFP_100x_1_blur	SimBig	SimBig	78	898	0.279399	527	1271	0.348151
sim_yeast_proteinGFP_100x_2_blur	SimBig	SimBig	118	1109	0.326936	523	1384	0.382339
sim_yeast_RNA_CY5like_100x_1	SimBig	SimBig	75	3847	0.972570	215	3941	0.972392
sim_yeast_RNA_CY5like_100x_2	SimBig	SimBig	81	3832	0.972465	241	3927	0.972166
sim_yeast_RNA_LE_CY5like_100x_1	SimBig	SimBig	66	80	0.924855	529	104	0.822335
sim_yeast_RNA_LE_CY5like_100x_2	SimBig	SimBig	72	97	0.950980	397	102	0.947368
sim_yeast_RNA_TMRlike_100x_1	SimBig	SimBig	162	3552	0.945813	103	3841	0.980256
sim_yeast_RNA_TMRlike_100x_2	SimBig	SimBig	113	3786	0.963727	99	3941	0.978532
histonesc_D0I1A_H3K36me3_Xist	XistI_CY5	XistI_Lo	68	4	NaN	163	212	NaN
histonesc_D0I1A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	1298	152	NaN	189	304	NaN
histonesc_D0I1A_H3K36me3_Histone	H3K36me3	H3K36me3_D0	87	6898	NaN	109	56464	NaN
histonesc_D0I1B_H3K36me3_Xist	XistI_CY5	XistI_Lo	69	12	NaN	189	194	NaN
histonesc_D0I1B_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	1038	221	NaN	37	28190	NaN
histonesc_D0I1B_H3K36me3_Histone	H3K36me3	H3K36me3_D0	69	19109	NaN	329	69517	NaN
histonesc_D0I1C_H3K36me3_Xist	XistI_CY5	XistI_Lo	73	18	NaN	195	61	NaN
histonesc_D0I1C_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	946	268	NaN	267	254	NaN
histonesc_D0I1C_H3K36me3_Histone	H3K36me3	H3K36me3_D0	89	2264	NaN	520	7107	NaN
histonesc_D0I2A_H3K36me3_Xist	XistI_CY5	XistI_Lo	62	13	NaN	202	46	NaN
histonesc_D0I2A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	824	237	NaN	211	245	NaN
histonesc_D0I2A_H3K36me3_Histone	H3K36me3	H3K36me3_D0	148	897	NaN	22	74802	NaN
histonesc_D0I2B_H3K36me3_Xist	XistI_CY5	XistI_Lo	74	24	NaN	220	91	NaN
histonesc_D0I2B_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	1285	188	NaN	222	263	NaN
histonesc_D0I2B_H3K36me3_Histone	H3K36me3	H3K36me3_D0	76	13964	NaN	312	60366	NaN
histonesc_D0I2C_H3K36me3_Xist	XistI_CY5	XistI_Lo	68	10	NaN	186	104	NaN
histonesc_D0I2C_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	1056	261	NaN	156	457	NaN
histonesc_D0I2C_H3K36me3_Histone	H3K36me3	H3K36me3_D0	78	5997	NaN	281	46282	NaN
histonesc_D0I3A_H3K36me3_Xist	XistI_CY5	XistI_Lo	79	12	NaN	201	86	NaN
histonesc_D0I3A_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	922	230	NaN	227	256	NaN
histonesc_D0I3A_H3K36me3_Histone	H3K36me3	H3K36me3_D0	67	13943	NaN	274	51610	NaN
histonesc_D0I3B_H3K36me3_Xist	XistI_CY5	XistI_Lo	62	35	NaN	187	188	NaN
histonesc_D0I3B_H3K36me3_Tsix	TsixI_TMR	TsixI_wHist	1170	189	NaN	210	241	NaN
histonesc_D0I3B_H3K36me3_Histone	H3K36me3	H3K36me3_D0	75	12029	NaN	348	57610	NaN
