IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_4b06e1a1	714	674	32	651	464	252	641	1014
simvarmass_CY5L_4b8f9368	213	207	199	177	181	259	192	659
simvarmass_CY5L_4ba4183d	2241	2112	1	1972	1442	110	1895	1892
simvarmass_CY5L_4e1231de	168	151	150	125	111	129	135	135
simvarmass_CY5L_500608c2	2515	2381	1	2211	1511	104	2124	2118
simvarmass_CY5L_5090057d	1938	1843	1	1740	1285	142	1678	1674
simvarmass_CY5L_525c29df	1447	1371	1	1335	1065	175	1306	1301
simvarmass_CY5L_539f9527	403	387	27	379	301	155	377	375
simvarmass_CY5L_53d5d0cc	2003	1899	1	1787	1229	175	1749	1736
simvarmass_CY5L_5587e50e	1397	1330	1	1278	873	210	1238	1283
simvarmass_CY5L_56136743	137	131	32	129	91	270	133	619
simvarmass_CY5L_56916148	1618	1533	1	1479	1245	143	1446	1439
simvarmass_CY5L_56d1e161	736	693	33	677	504	198	662	682
simvarmass_CY5L_57c005f7	189	180	23	183	165	317	182	2161
simvarmass_CY5L_592532aa	2181	2056	1	1927	1288	87	1852	1844
simvarmass_CY5L_595bdded	802	747	1	811	600	127	706	706
simvarmass_CY5L_5a0cca46	299	286	29	284	242	280	282	1107
simvarmass_CY5L_5ae7e106	889	838	1	2799	659	230	803	1030
simvarmass_CY5L_5ca999d3	2098	1992	1	1881	1408	194	1834	1844
simvarmass_CY5L_5cdea545	1144	1084	1	1133	824	178	1024	1020
simvarmass_CY5L_5d7bbad5	1716	1624	1	1536	1207	100	1501	1492
simvarmass_CY5L_5df9ec3e	1856	1757	1	1665	1245	285	1626	3119
simvarmass_CY5L_5f692ce6	777	742	37	720	533	216	716	776
simvarmass_CY5L_6133f4b1	944	888	1	866	697	150	847	844
simvarmass_CY5L_626c8c6a	1667	1572	1	1497	1215	144	1461	1450
simvarmass_CY5L_629fcaa9	154	137	27	120	93	195	126	132
simvarmass_CY5L_63a09921	1749	1665	1	1590	1426	138	1555	1544
simvarmass_CY5L_6421c005	849	813	1	782	541	100	758	755
simvarmass_CY5L_6464c463	1122	1069	1	1203	736	272	1016	1724
simvarmass_CY5L_65b58cd3	7	7	18	2	2	255	9	566
simvarmass_CY5L_66024d2b	1841	1744	1	1660	1501	205	1632	1686
simvarmass_CY5L_69b6847f	1740	1643	1	1559	1179	194	1517	1527
simvarmass_CY5L_6b04b8c7	1281	1209	1	1154	1029	158	1130	1125
simvarmass_CY5L_6c359100	859	812	1	792	576	141	776	773
simvarmass_CY5L_6ce031d4	236	224	38	202	133	211	199	227
simvarmass_CY5L_6dab5181	1821	1728	1	1630	1186	104	1585	1577
simvarmass_CY5L_707ed63b	1472	1391	1	1335	950	105	1313	1299
simvarmass_CY5L_71057227	89	84	29	63	52	158	62	62
simvarmass_CY5L_750c4c5e	1580	1495	1	1436	1140	208	1411	1461
simvarmass_CY5L_75f255b1	1073	1018	1	992	675	135	967	960
simvarmass_CY5L_76f02db6	2279	2163	1	2029	1494	150	1959	1955
simvarmass_CY5L_77874ae6	653	621	1	590	476	108	574	573
simvarmass_CY5L_78e70971	673	644	65	626	475	241	628	819
simvarmass_CY5L_7b75f26c	111	105	37	91	63	362	92	2782
simvarmass_CY5L_7b9b6f0f	1677	1580	1	1468	1147	125	1437	1427
simvarmass_CY5L_7c070caf	1055	995	1	964	827	120	939	936
simvarmass_CY5L_7d1a3c5b	1691	1600	1	1529	1156	29	15275	4789
simvarmass_CY5L_80c68fc4	1541	1459	1	1378	949	180	1329	1328
simvarmass_CY5L_80ee7cfe	1791	1693	1	1600	1260	184	1565	1564
simvarmass_CY5L_82f91e7d	6	6	21	2	2	247	12	507
simvarmass_CY5L_83a9584a	1735	1640	1	1568	1210	153	1524	1520
simvarmass_CY5L_83bd0ca8	503	483	32	456	349	151	450	448
simvarmass_CY5L_8410b31a	462	438	40	431	363	340	425	4560
simvarmass_CY5L_897bba36	2228	2090	1	1983	1526	271	1916	2873
simvarmass_CY5L_8bf7b484	1219	1153	1	1107	995	114	1081	1077
simvarmass_CY5L_8d5d518f	1978	1877	1	1768	1510	116	1725	1716
simvarmass_CY5L_8e259b70	700	662	1	2430	459	423	646	6429
simvarmass_CY5L_8f539d95	55	54	42	35	28	153	35	35
simvarmass_CY5L_8fe797af	1252	1187	1	1212	989	368	1151	5562
simvarmass_CY5L_903c8326	1730	1616	1	1552	1042	179	1494	1485
simvarmass_CY5L_9094ab2c	2361	2233	1	2073	1559	133	2010	1997
simvarmass_CY5L_917b35e1	1077	1018	1	998	714	123	957	954
simvarmass_CY5L_96198ad4	525	506	33	490	431	229	490	624
simvarmass_CY5L_96c4c192	565	534	1	531	384	214	517	549
simvarmass_CY5L_98343be9	2023	1899	1	1798	1441	124	1755	1737
simvarmass_CY5L_9877a8d3	9	9	23	2	2	227	26	209
simvarmass_CY5L_99a8eb4f	2219	2107	1	1952	1618	90	1902	1893
simvarmass_CY5L_9a373e9b	357	330	1	789	261	78	305	305
simvarmass_CY5L_9ca8bccd	351	332	37	333	211	366	332	3317
simvarmass_CY5L_9d179fa5	1097	1035	1	978	654	197	955	966
simvarmass_CY5L_9d99e333	965	913	1	868	788	123	849	843
simvarmass_CY5L_9f809585	2044	1927	1	1834	1509	106	1786	1778
simvarmass_CY5L_9f9145d3	2537	2384	1	2214	1777	91	2128	2123
simvarmass_CY5L_9fd2384a	1710	1616	1	1529	940	292	1492	2831
simvarmass_CY5L_a1312b66	362	346	25	337	247	224	345	468
simvarmass_CY5L_a430d118	434	411	150	343	316	157	389	382
simvarmass_CY5L_a4d6d0bb	705	657	1	4097	468	178	647	644
simvarmass_CY5L_a6e00e93	2531	2393	1	2236	1883	136	2162	2158
simvarmass_CY5L_a8047020	699	660	31	662	442	497	646	8331
simvarmass_CY5L_a96389e6	346	324	23	320	260	109	315	314
simvarmass_CY5L_aa2d1ead	1099	1035	1	1842	664	182	975	971
simvarmass_CY5L_ab31cf1e	326	311	22	295	267	101	291	289
simvarmass_CY5L_ab88b7cd	1723	1634	1	1567	1159	159	1508	1501
simvarmass_CY5L_abd7139e	2059	1948	1	1834	1369	204	1783	1844
simvarmass_CY5L_ad5b63fc	101	99	27	78	60	172	78	78
simvarmass_CY5L_addda019	741	695	1	676	480	167	664	662
simvarmass_CY5L_ae0bc257	895	832	1	809	474	114	780	776
simvarmass_CY5L_b001e10f	2078	1968	1	1865	1584	176	1826	1815
simvarmass_CY5L_b037e931	744	706	1	834	566	194	683	689
simvarmass_CY5L_b156f56a	2067	1929	1	1837	1671	128	1771	1762
simvarmass_CY5L_b1a1efeb	2364	2241	1	2111	1748	246	2066	2554
simvarmass_CY5L_b29fff8a	410	381	257	243	312	135	361	361
simvarmass_CY5L_b39363cd	2046	1941	1	1846	1480	141	1780	1774
simvarmass_CY5L_b4603be1	207	195	32	198	167	316	198	2187
simvarmass_CY5L_b4d3b176	1872	1769	1	1688	1154	324	1672	4506
simvarmass_CY5L_b5fe215d	2382	2260	1	2113	1667	214	2058	2138
simvarmass_CY5L_b6e4ac56	1466	1371	1	1328	937	232	1295	1517
simvarmass_CY5L_b7717876	91	89	22	65	44	121	65	65
simvarmass_CY5L_b888945d	1125	1057	1	1110	782	222	1007	1113
simvarmass_CY5L_b901537e	614	584	1	3557	427	337	581	3359
simvarmass_CY5L_b95234dd	981	934	1	3461	606	468	919	8520
simvarmass_CY5L_b9ca4f72	1441	1362	1	1304	1023	225	1269	1398
simvarmass_CY5L_bae90715	805	758	1	3260	564	216	704	779
simvarmass_CY5L_bf680c47	584	549	1	1084	354	182	527	527
simvarmass_CY5L_bfdb01fb	2142	2018	1	1907	1607	79	1858	1843
simvarmass_CY5L_c008c7b4	277	256	20	234	175	88	227	227
simvarmass_CY5L_c10f2b46	166	154	31	134	88	200	131	140
simvarmass_CY5L_c17e08be	47	46	144	21	19	177	29	27
simvarmass_CY5L_c335275c	1196	1142	1	1123	917	227	1109	1293
simvarmass_CY5L_c399cc8f	2080	1970	1	1831	1325	176	1783	1776
simvarmass_CY5L_c39aeae8	1657	1558	1	1487	1038	159	1454	1438
simvarmass_CY5L_c611a3c6	1510	1435	1	1378	1151	99	1348	1342
simvarmass_CY5L_c618c353	2386	2247	1	2090	1360	127	2015	2007
simvarmass_CY5L_c761edd0	938	888	1	1644	701	117	830	827
simvarmass_CY5L_c7c630f9	699	656	122	626	541	223	634	722
simvarmass_CY5L_ca22dc6d	369	353	25	338	241	169	338	335
simvarmass_CY5L_cad0905c	1968	1874	1	1792	1472	128	1728	1725
simvarmass_CY5L_cafb1423	325	299	31	281	192	136	278	277
simvarmass_CY5L_cbaf43a3	663	631	1	2141	390	166	605	603
simvarmass_CY5L_cc3478bc	347	329	35	327	218	436	331	6570
simvarmass_CY5L_ccdde8b6	2414	2284	1	2168	1699	197	2095	2114
simvarmass_CY5L_cd845f0f	1327	1275	1	1239	1105	150	1209	1205
simvarmass_CY5L_ceaa7951	134	129	29	127	103	218	128	170
simvarmass_CY5L_ced48015	2405	2289	1	2135	1763	370	2109	6272
simvarmass_CY5L_d0884605	1254	1189	1	1158	909	172	1123	1119
simvarmass_CY5L_d0f3ce7f	870	819	1	1144	616	194	785	791
simvarmass_CY5L_d20eccaf	657	613	1	615	469	116	597	593
simvarmass_CY5L_d2a6c082	1101	1034	1	1028	819	144	965	963
simvarmass_CY5L_d477463f	887	844	1	994	668	160	810	803
simvarmass_CY5L_d4f5fc46	2430	2307	1	2093	1398	140	2025	2015
simvarmass_CY5L_d52169a1	2059	1955	1	1855	1566	139	1793	1786
simvarmass_CY5L_d67250cf	1540	1459	1	1417	911	315	1385	3250
simvarmass_CY5L_d7fd035a	524	488	35	487	362	276	483	1265
simvarmass_CY5L_d8102e43	1210	1135	1	1112	861	286	1090	1987
simvarmass_CY5L_d96fa1fa	699	665	1	1017	397	166	631	627
simvarmass_CY5L_d9d7d7f1	1372	1292	1	1269	897	188	1218	1219
simvarmass_CY5L_d9fc6491	2133	2012	1	1904	1622	130	1856	1852
simvarmass_CY5L_daa12408	2079	1952	1	1840	1293	158	1795	1776
simvarmass_CY5L_dcbae292	1614	1524	1	1459	1073	313	1437	3346
simvarmass_CY5L_dcd5f12f	1392	1329	1	1312	1066	383	1273	6530
simvarmass_CY5L_dd038fa8	835	787	1	1468	667	167	746	744
simvarmass_CY5L_df41bc25	1359	1285	1	1478	921	325	1232	4291
simvarmass_CY5L_e158d5e9	1562	1474	1	1407	1138	203	1349	1379
simvarmass_CY5L_e2d3c3ee	1126	1071	1	1110	976	168	1022	1022
simvarmass_CY5L_e310b86e	651	606	32	597	435	247	600	977
simvarmass_CY5L_e327cde7	856	808	1	3693	593	178	782	778
simvarmass_CY5L_e3dfe44b	660	629	32	613	512	180	610	610
simvarmass_CY5L_e4216685	2422	2303	1	2107	1692	111	2047	2042
simvarmass_CY5L_e5434f9d	2197	2090	1	1981	1674	123	1923	1910
simvarmass_CY5L_e7479ac8	1290	1228	1	1189	1005	133	1166	1159
simvarmass_CY5L_e74aa8b1	72	69	42	63	49	206	62	71
simvarmass_CY5L_e89f6af0	1479	1406	1	1347	1112	139	1314	1306
simvarmass_CY5L_e9a827f8	553	524	1	1201	402	182	511	510
simvarmass_CY5L_e9b710b2	793	753	1	1177	536	129	711	709
simvarmass_CY5L_ea8843b2	1510	1427	1	1349	923	131	1320	1316
simvarmass_CY5L_ec34d5b0	1340	1266	1	1234	1032	114	1195	1190
simvarmass_CY5L_ec47a6ad	361	341	65	317	242	172	313	313
simvarmass_CY5L_ec97f39a	2042	1949	1	1841	1696	170	1807	1802
simvarmass_CY5L_ef9dfecd	2261	2122	1	1979	1378	337	1916	3720
simvarmass_CY5L_efb30c9a	562	534	1	2170	397	253	521	899
simvarmass_CY5L_f09f925c	924	861	1	1000	680	160	825	822
simvarmass_CY5L_f16c4f04	969	912	1	880	673	117	856	854
simvarmass_CY5L_f3ca3027	918	862	1	839	582	134	823	816
simvarmass_CY5L_f4101ca1	1003	935	1	915	814	141	897	894
simvarmass_CY5L_f57370ec	1764	1667	1	1590	1308	232	1555	1806
simvarmass_CY5L_f597b922	2216	2088	1	1988	1713	216	1951	2039
simvarmass_CY5L_f687367f	263	248	185	202	200	100	217	216
simvarmass_CY5L_f71f2ae3	264	244	35	242	201	224	244	403
simvarmass_CY5L_fa5eacdd	1683	1586	1	1496	960	87	1445	1441
simvarmass_CY5L_fa6ac544	2158	2036	1	1896	1410	119	1835	1821
simvarmass_CY5L_fd058bc6	739	705	1	1784	603	189	662	663
simvarmass_CY5L_fe7b94ae	1459	1385	1	1342	1124	190	1310	1318
simvarmass_CY5L_fe9feef3	674	634	1	2628	430	166	603	596
simvarmass_CY5L_feb64b1c	1412	1336	1	1282	888	229	1262	1423
simvarmass_TMRL_00a36523	486	457	121	448	438	767	466	5044
simvarmass_TMRL_035bbb91	1023	983	91	949	945	239	963	932
simvarmass_TMRL_03e9ae6e	2418	2277	102	2113	2108	348	2072	2043
simvarmass_TMRL_0442bcde	1626	1556	129	1461	1459	415	1482	1507
simvarmass_TMRL_051f2b11	1476	1406	86	1359	1345	280	1332	1314
simvarmass_TMRL_0618c3c0	7	7	102	1736	70	304	7485	1341
simvarmass_TMRL_065cc51d	2180	2060	117	1933	1925	561	1955	3354
simvarmass_TMRL_070849ff	859	813	104	781	780	168	782	773
simvarmass_TMRL_072b5701	1335	1267	94	1218	1202	503	1206	1669
simvarmass_TMRL_091ea053	1523	1442	134	1388	1388	142	16313	9466
simvarmass_TMRL_0c7f7779	877	823	94	793	774	311	791	773
simvarmass_TMRL_0d35ae2d	917	873	138	827	828	61	17196	890
simvarmass_TMRL_0d8365fd	1125	1076	143	1026	1034	1007	1093	9681
simvarmass_TMRL_0efde4f6	2482	2336	837	510	2178	209	2146	2120
simvarmass_TMRL_0f8520f7	621	582	144	533	537	547	563	1340
simvarmass_TMRL_11be5298	1093	1040	145	1004	1021	517	1020	1638
simvarmass_TMRL_12d1c501	1585	1498	138	1418	1418	62	14512	2438
simvarmass_TMRL_132b0e1d	2193	2076	109	1928	1926	254	1919	1881
simvarmass_TMRL_13951781	169	159	151	140	152	528	144	627
simvarmass_TMRL_144094e6	2370	2236	134	2073	2067	73	14044	3546
simvarmass_TMRL_154fc139	1311	1248	155	1202	1212	827	1258	11525
simvarmass_TMRL_169f172d	1326	1252	174	1196	1276	709	1231	6558
simvarmass_TMRL_17945961	225	215	84	204	204	388	209	207
simvarmass_TMRL_17fcfcf4	2016	1905	173	1756	1805	558	1781	3528
simvarmass_TMRL_19c9fe8a	2323	2212	160	1912	1981	97	13782	6114
simvarmass_TMRL_1f6e6208	1883	1776	97	1686	1680	259	1666	1643
simvarmass_TMRL_1fe9cbf5	1642	1556	79	1476	1471	246	1447	1433
simvarmass_TMRL_20610138	413	393	101	368	366	404	377	377
simvarmass_TMRL_217a84bc	2345	2209	111	2053	2043	486	2061	2626
simvarmass_TMRL_217b8a01	1941	1844	118	1742	1738	547	1804	3405
simvarmass_TMRL_21a3efda	2185	2084	137	1967	1967	327	1967	1902
simvarmass_TMRL_2338f30b	507	471	70	447	445	414	444	457
simvarmass_TMRL_235d3ca8	578	543	110	522	505	572	528	1246
simvarmass_TMRL_23e19e42	978	921	135	873	871	401	903	900
simvarmass_TMRL_23e7c892	2476	2346	154	2144	2155	121	15471	7462
simvarmass_TMRL_24124f4a	669	643	147	855	1104	139	19580	2449
simvarmass_TMRL_248aabc0	2198	2068	108	1933	1919	433	1897	1974
simvarmass_TMRL_25a8a99e	503	472	177	440	602	175	17666	12467
simvarmass_TMRL_266202bc	1782	1692	154	1525	1546	566	1606	3089
simvarmass_TMRL_273c5723	1795	1713	104	1601	1599	302	1595	1570
simvarmass_TMRL_27986836	154	150	96	145	140	861	153	6193
simvarmass_TMRL_28dc6f47	1431	1349	160	1291	1294	520	1301	2186
simvarmass_TMRL_2c8705eb	127	123	116	143	108	531	128	627
simvarmass_TMRL_2c8cbd79	628	598	90	587	582	335	598	579
simvarmass_TMRL_2db7b5fd	1385	1303	170	1233	1392	194	16107	12342
simvarmass_TMRL_2e3f28f3	351	334	114	422	307	799	365	6713
simvarmass_TMRL_2ebdbaf0	780	739	157	705	725	555	724	1725
simvarmass_TMRL_2ef76c51	365	338	66	338	335	400	344	344
simvarmass_TMRL_32388b80	1696	1605	110	1530	1527	89	18309	2109
simvarmass_TMRL_3374d92b	1373	1292	126	1246	1244	336	1243	1208
simvarmass_TMRL_35c8d048	718	673	105	646	640	555	659	1648
simvarmass_TMRL_3bb5d83a	127	121	107	99	99	452	103	147
simvarmass_TMRL_3c29f86e	2334	2174	111	1999	1972	314	1964	1929
simvarmass_TMRL_3d5487ce	2457	2317	112	2092	2061	548	2146	3249
simvarmass_TMRL_3dab40da	1301	1249	162	1193	1200	458	1298	1560
simvarmass_TMRL_40da6748	452	430	145	413	413	236	414	405
simvarmass_TMRL_4179b643	1165	1096	148	1053	1056	521	1061	1780
simvarmass_TMRL_418898bd	1020	956	111	926	915	617	934	2692
simvarmass_TMRL_4415117e	1523	1439	80	1363	1356	258	1352	1329
simvarmass_TMRL_44d95a97	828	783	124	755	755	402	752	751
simvarmass_TMRL_4552f372	634	598	96	576	572	346	571	561
simvarmass_TMRL_456b410c	1348	1274	179	1240	1333	201	19780	10756
simvarmass_TMRL_45b2c534	62	57	240	54	54	404	55	55
simvarmass_TMRL_46c8a8cf	423	407	156	386	401	138	18332	6256
simvarmass_TMRL_487e5f1d	2362	2232	320	1432	1935	326	1988	1937
simvarmass_TMRL_492fc7d6	1340	1250	160	1212	1214	763	1240	8835
simvarmass_TMRL_49455a7c	2360	2236	97	2065	2043	414	2046	2069
simvarmass_TMRL_4a02cbce	386	366	71	351	349	320	357	346
simvarmass_TMRL_4aff60bf	1503	1420	95	1378	1371	326	1360	1342
simvarmass_TMRL_4b89c98e	404	386	104	389	375	427	392	417
simvarmass_TMRL_4ca7c1f8	417	394	100	380	380	447	386	433
simvarmass_TMRL_4d299943	2425	2278	124	2119	2118	321	2081	2061
simvarmass_TMRL_4db68b26	1346	1266	114	1202	1184	306	1215	1170
simvarmass_TMRL_4e01ce8f	1332	1267	141	1184	1190	849	1229	7501
simvarmass_TMRL_4ee7b39c	1543	1455	107	1381	1373	324	1389	1346
simvarmass_TMRL_4fa41ff4	363	343	101	335	334	496	337	513
simvarmass_TMRL_5050c5eb	402	385	105	375	370	418	391	411
simvarmass_TMRL_51aca410	848	805	112	754	743	451	779	893
simvarmass_TMRL_531f2826	27	27	90	201	6	481	23	274
simvarmass_TMRL_54048b1d	2167	2035	139	1887	1887	409	1896	1909
simvarmass_TMRL_54a4ef33	545	513	66	499	485	436	500	523
simvarmass_TMRL_54df1a75	1612	1513	136	1439	1439	125	15595	7831
simvarmass_TMRL_55394eb0	2437	2302	141	2121	2126	95	17019	2870
simvarmass_TMRL_577ce5ca	2329	2210	146	1957	1977	677	2062	5669
simvarmass_TMRL_58abd6b5	630	581	163	550	640	126	18743	4516
simvarmass_TMRL_59ada9e0	1232	1173	135	1096	1095	752	1144	5635
simvarmass_TMRL_5bb3b255	1844	1755	177	1672	1797	633	1754	5744
simvarmass_TMRL_5d617c83	2367	2233	101	2067	2057	303	2040	1993
simvarmass_TMRL_5fefc118	1828	1726	150	1597	1635	584	1638	3427
simvarmass_TMRL_600a446c	736	700	134	666	666	431	673	720
simvarmass_TMRL_6040aa37	1019	964	115	922	917	358	938	903
simvarmass_TMRL_604ef355	1816	1729	187	1609	1885	626	1636	5185
simvarmass_TMRL_617d8a56	2286	2161	152	1966	1993	108	14295	7500
simvarmass_TMRL_633d3698	1153	1103	162	1029	1040	561	1044	2098
simvarmass_TMRL_64f6c0b0	2035	1911	106	1782	1754	424	1801	1854
simvarmass_TMRL_6676fd5c	2476	2339	82	2189	2148	305	2151	2123
simvarmass_TMRL_66b77acd	417	396	110	383	374	477	380	477
simvarmass_TMRL_6984e828	2425	2294	141	2130	2138	434	2157	2281
simvarmass_TMRL_6c313417	50	48	128	46	42	780	49	4299
simvarmass_TMRL_6c6e2c30	2350	2219	86	2105	2092	520	2094	2740
simvarmass_TMRL_6dc88c32	120	114	71	93	93	309	94	93
simvarmass_TMRL_6e8cb638	2280	2155	698	740	1995	325	2001	1949
simvarmass_TMRL_6ef7c896	28	28	94	229	8	111	16485	2268
simvarmass_TMRL_70a83343	1055	999	158	921	997	136	17149	8443
simvarmass_TMRL_721e1aef	605	578	118	557	555	471	565	738
simvarmass_TMRL_72d333b8	2309	2178	176	2061	2237	656	2101	7089
simvarmass_TMRL_79b3efaf	170	159	144	149	149	440	149	163
simvarmass_TMRL_7a76b5a4	767	725	128	695	695	557	714	2125
simvarmass_TMRL_7c6cea1c	1124	1053	99	1007	988	318	1000	982
simvarmass_TMRL_7d35c0dc	869	823	133	783	783	125	18462	6491
simvarmass_TMRL_7d3e1a6f	554	520	159	487	514	659	532	3790
simvarmass_TMRL_7d4309e5	1547	1458	206	1330	1371	70	16488	2010
simvarmass_TMRL_7e9c2032	1299	1242	125	1183	1178	387	1194	1180
simvarmass_TMRL_7ed3b3eb	845	804	95	766	747	486	780	996
simvarmass_TMRL_7fab4291	1343	1268	87	1218	1212	198	1211	1188
simvarmass_TMRL_7fbc4fc0	725	688	113	679	674	81	17000	4413
simvarmass_TMRL_80fee400	2214	2116	176	1969	2018	888	2014	10397
simvarmass_TMRL_8160d8bc	1629	1535	95	1461	1452	240	1444	1417
simvarmass_TMRL_81924417	1841	1742	178	1619	1745	193	17300	11537
simvarmass_TMRL_81c5ded7	693	649	102	621	621	324	627	611
simvarmass_TMRL_833b30e6	906	850	79	795	757	299	797	778
simvarmass_TMRL_83872c3e	1638	1548	89	1470	1455	261	1456	1428
simvarmass_TMRL_846117a2	2225	2109	130	1937	1928	428	1968	2040
