IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_CY5L_0187fc2d	1885	1776	1	1681	1306	143	1644	1633
simvarmass_CY5L_03be411c	995	940	1	928	674	238	904	1135
simvarmass_CY5L_041707a3	620	577	32	564	418	229	555	759
simvarmass_CY5L_04cdf185	1968	1854	1	1753	1503	180	1723	1718
simvarmass_CY5L_06ba1502	1120	1059	1	1270	758	265	1014	1547
simvarmass_CY5L_07960359	2521	2381	1	2222	1736	155	2144	2130
simvarmass_CY5L_07ecb936	2038	1926	1	1796	1218	118	1749	1732
simvarmass_CY5L_088d2413	986	928	1	924	812	276	909	1974
simvarmass_CY5L_08a8e0d5	1434	1349	1	1292	874	215	1256	1315
simvarmass_CY5L_08c1fcc9	736	692	1	920	592	297	670	2285
simvarmass_CY5L_08f3289c	1631	1533	1	1507	1287	247	1464	2115
simvarmass_CY5L_093ec882	1384	1302	1	1233	972	146	1209	1201
simvarmass_CY5L_0a302ca1	41	38	82	21	16	119	22	22
simvarmass_CY5L_0ad43798	1349	1287	1	1244	1004	192	1203	1212
simvarmass_CY5L_0b18a890	1119	1056	1	2648	913	237	1002	1280
simvarmass_CY5L_0d37d952	1261	1200	1	1166	989	202	1137	1174
simvarmass_CY5L_10670cf2	1113	1058	1	1014	802	98	992	990
simvarmass_CY5L_107b9d3d	1058	991	1	963	750	133	944	940
simvarmass_CY5L_10eeafd5	1466	1395	1	1347	1162	253	1320	1847
simvarmass_CY5L_10f3bb0a	1030	972	1	1145	684	297	953	2719
simvarmass_CY5L_11169287	738	682	1	2248	444	209	675	717
simvarmass_CY5L_1134940f	1885	1766	1	1693	1427	128	1642	1636
simvarmass_CY5L_12ac335e	1250	1182	1	1141	739	214	1109	1163
simvarmass_CY5L_13e08ce8	1868	1777	1	1642	1133	146	1596	1588
simvarmass_CY5L_14bcf616	642	609	1	2046	417	196	580	588
simvarmass_CY5L_14dede87	193	184	183	122	121	204	163	166
simvarmass_CY5L_150a2128	1617	1530	1	1481	1092	312	1423	3438
simvarmass_CY5L_1562ae4c	1874	1776	1	1682	1168	98	1632	1625
simvarmass_CY5L_167c7182	327	308	120	269	210	306	311	2237
simvarmass_CY5L_16a81823	670	638	1	2524	561	149	599	597
simvarmass_CY5L_190a4024	1316	1249	1	1284	1043	176	1182	1176
simvarmass_CY5L_1a06e206	1127	1066	1	1021	757	92	1001	998
simvarmass_CY5L_1ac1b13a	1515	1425	1	1356	933	197	1309	1321
simvarmass_CY5L_1c94f091	1790	1689	1	1636	1024	197	1579	1594
simvarmass_CY5L_1c9c6a5f	706	675	1	670	455	174	648	646
simvarmass_CY5L_1d398611	1100	1052	1	1011	821	198	1005	1018
simvarmass_CY5L_1dc6dcaa	367	343	223	244	258	161	323	321
simvarmass_CY5L_1e495a5d	77	74	230	56	61	196	65	68
simvarmass_CY5L_1f0383ed	643	596	35	582	496	161	576	570
simvarmass_CY5L_1f2b45f8	1357	1271	1	1198	1042	108	1168	1167
simvarmass_CY5L_1f939cf0	1747	1639	1	1579	1365	181	1536	1531
simvarmass_CY5L_201f7a2d	422	405	24	399	347	123	395	393
simvarmass_CY5L_22977c18	716	688	1	766	460	118	656	654
simvarmass_CY5L_22d33ae7	1592	1513	1	1460	1261	283	1429	2627
simvarmass_CY5L_237f4c72	2510	2350	1	2221	1718	138	2139	2132
simvarmass_CY5L_2554166f	363	346	22	324	203	89	319	319
simvarmass_CY5L_258ca893	2390	2266	1	2092	1341	190	2012	2017
simvarmass_CY5L_25a36c92	1200	1134	1	1103	798	121	1069	1067
simvarmass_CY5L_26f50e87	85	81	176	67	66	460	82	10112
simvarmass_CY5L_28d950c6	2052	1953	1	1848	1572	183	1789	1788
simvarmass_CY5L_2c4ec817	2084	1974	1	1850	1317	189	1798	1800
simvarmass_CY5L_2cbc3d23	206	199	27	200	176	328	205	2983
simvarmass_CY5L_2ee74e9f	455	411	30	413	296	294	403	1647
simvarmass_CY5L_30cb6637	2077	1956	1	1864	1767	148	1818	1809
simvarmass_CY5L_32a3aeb6	2161	2049	1	1922	1352	144	1874	1846
simvarmass_CY5L_33842744	2381	2250	1	2122	1826	176	2055	2051
simvarmass_CY5L_340e180a	2205	2086	1	1956	1594	7	15641	1883
simvarmass_CY5L_3411b650	1251	1200	1	1154	1066	116	1136	1131
simvarmass_CY5L_3417dfb5	1726	1638	1	1561	1189	128	1513	1504
simvarmass_CY5L_34ee1647	2272	2128	1	1997	1845	122	1938	1931
simvarmass_CY5L_35a74d8f	1070	1020	1	1033	681	157	966	963
simvarmass_CY5L_3ac13591	2264	2125	1	2030	1813	7	16641	1976
simvarmass_CY5L_3baeb3a0	566	537	27	535	437	258	526	914
simvarmass_CY5L_3c3d0b00	47	45	44	39	30	85	39	39
simvarmass_CY5L_3ce660ee	1288	1212	1	1206	1006	201	1163	1183
simvarmass_CY5L_3f293d0a	2034	1941	1	1818	1393	133	1772	1762
simvarmass_CY5L_3fbeb461	957	899	1	862	537	95	843	836
simvarmass_CY5L_404f03b0	2080	1963	1	1839	1535	150	1802	1788
simvarmass_CY5L_432f525a	1011	945	1	927	627	106	900	894
simvarmass_CY5L_433b52eb	607	580	1	2008	366	207	562	588
simvarmass_CY5L_445780d7	1928	1815	1	1703	1344	129	1661	1640
simvarmass_CY5L_463f3d0e	1455	1376	1	1317	1149	95	1284	1281
simvarmass_CY5L_481edd78	2236	2111	1	1983	1442	178	1916	1906
simvarmass_CY5L_4824bda2	1733	1649	1	1584	1516	193	1555	1562
simvarmass_CY5L_4952c9ea	332	318	26	312	244	212	311	322
simvarmass_CY5L_4af3b5c2	1010	968	1	990	900	249	939	1219
