IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
sctc_E2R2_40m_I3_STL1	Exp	86965725	10	90757	7.939348	4.957880	0.001044
sctc_E2R2_40m_I3_CTT1	Exp	86965725	10	1201843	7.939348	6.079848	0.013820
sctc_E2R2_40m_I4_STL1	Exp	86965725	10	116666	7.939348	5.066944	0.001342
sctc_E2R2_40m_I4_CTT1	Exp	86965725	10	1234949	7.939348	6.091649	0.014200
sctc_E2R2_45m_I1_STL1	Exp	86965725	10	147152	7.939348	5.167766	0.001692
sctc_E2R2_45m_I1_CTT1	Exp	86965725	10	1323487	7.939348	6.121720	0.015218
sctc_E2R2_45m_I2_STL1	Exp	86965725	10	148026	7.939348	5.170338	0.001702
sctc_E2R2_45m_I2_CTT1	Exp	86965725	10	1366770	7.939348	6.135695	0.015716
sctc_E2R2_45m_I3_STL1	Exp	86965725	10	143165	7.939348	5.155837	0.001646
sctc_E2R2_45m_I3_CTT1	Exp	86965725	10	1349326	7.939348	6.130117	0.015516
sctc_E2R2_45m_I4_STL1	Exp	86965725	10	63448	7.939348	4.802418	0.000730
sctc_E2R2_45m_I4_CTT1	Exp	86965725	10	1363539	7.939348	6.134668	0.015679
sctc_E2R2_4m_I1_STL1	Exp	86965725	10	10744	7.939348	4.031166	0.000124
sctc_E2R2_4m_I1_CTT1	Exp	86965725	10	1365255	7.939348	6.135214	0.015699
sctc_E2R2_4m_I2_STL1	Exp	86965725	10	13033	7.939348	4.115044	0.000150
sctc_E2R2_4m_I2_CTT1	Exp	86965725	10	1375631	7.939348	6.138502	0.015818
sctc_E2R2_4m_I3_STL1	Exp	86965725	10	17687	7.939348	4.247654	0.000203
sctc_E2R2_4m_I3_CTT1	Exp	86965725	10	1389222	7.939348	6.142772	0.015974
sctc_E2R2_4m_I4_STL1	Exp	86965725	10	7783	7.939348	3.891147	0.000089
sctc_E2R2_4m_I4_CTT1	Exp	86965725	10	1339951	7.939348	6.127089	0.015408
sctc_E2R2_50m_I1_STL1	Exp	86965725	10	41372	7.939348	4.616707	0.000476
sctc_E2R2_50m_I1_CTT1	Exp	86965725	10	1284896	7.939348	6.108868	0.014775
sctc_E2R2_50m_I2_STL1	Exp	86965725	10	42614	7.939348	4.629552	0.000490
sctc_E2R2_50m_I2_CTT1	Exp	86965725	10	1316624	7.939348	6.119462	0.015140
sctc_E2R2_50m_I3_STL1	Exp	86965725	10	64469	7.939348	4.809351	0.000741
sctc_E2R2_50m_I3_CTT1	Exp	86965725	10	1318527	7.939348	6.120089	0.015161
sctc_E2R2_50m_I4_STL1	Exp	86965725	10	44497	7.939348	4.648331	0.000512
sctc_E2R2_50m_I4_CTT1	Exp	86965725	10	1352006	7.939348	6.130979	0.015546
sctc_E2R2_50m_I5_STL1	Exp	86965725	10	50908	7.939348	4.706786	0.000585
sctc_E2R2_50m_I5_CTT1	Exp	86965725	10	1352678	7.939348	6.131194	0.015554
sctc_E2R2_55m_I1_STL1	Exp	86965725	10	73603	7.939348	4.866896	0.000846
sctc_E2R2_55m_I1_CTT1	Exp	86965725	10	1295423	7.939348	6.112412	0.014896
sctc_E2R2_55m_I2_STL1	Exp	86965725	10	64340	7.939348	4.808481	0.000740
sctc_E2R2_55m_I2_CTT1	Exp	86965725	10	1313091	7.939348	6.118295	0.015099
sctc_E2R2_55m_I3_STL1	Exp	86965725	10	67580	7.939348	4.829818	0.000777
sctc_E2R2_55m_I3_CTT1	Exp	86965725	10	1318166	7.939348	6.119970	0.015157
sctc_E2R2_55m_I4_STL1	Exp	86965725	10	57895	7.939348	4.762641	0.000666
sctc_E2R2_55m_I4_CTT1	Exp	86965725	10	1346867	7.939348	6.129325	0.015487
sctc_E2R2_60m_I1_STL1	Exp	86965725	10	57344	7.939348	4.758488	0.000659
sctc_E2R2_60m_I1_CTT1	Exp	86965725	10	1284461	7.939348	6.108721	0.014770
sctc_E2R2_60m_I2_STL1	Exp	86965725	10	98854	7.939348	4.994994	0.001137
sctc_E2R2_60m_I2_CTT1	Exp	86965725	10	1269726	7.939348	6.103710	0.014600
sctc_E2R2_60m_I3_STL1	Exp	86965725	10	90397	7.939348	4.956154	0.001039
sctc_E2R2_60m_I3_CTT1	Exp	86965725	10	1281634	7.939348	6.107764	0.014737
sctc_E2R2_60m_I4_STL1	Exp	86965725	10	105560	7.939348	5.023499	0.001214
sctc_E2R2_60m_I4_CTT1	Exp	86965725	10	1276353	7.939348	6.105971	0.014677
sctc_E2R2_6m_I1_STL1	Exp	86965725	10	59342	7.939348	4.773362	0.000682
sctc_E2R2_6m_I1_CTT1	Exp	86965725	10	1269075	7.939348	6.103487	0.014593
sctc_E2R2_6m_I2_STL1	Exp	86965725	10	46924	7.939348	4.671395	0.000540
sctc_E2R2_6m_I2_CTT1	Exp	86965725	10	1308128	7.939348	6.116650	0.015042
sctc_E2R2_6m_I3_STL1	Exp	86965725	10	42346	7.939348	4.626812	0.000487
sctc_E2R2_6m_I3_CTT1	Exp	86965725	10	1339885	7.939348	6.127068	0.015407
sctc_E2R2_6m_I4_STL1	Exp	86965725	10	54470	7.939348	4.736157	0.000626
sctc_E2R2_6m_I4_CTT1	Exp	86965725	10	1315695	7.939348	6.119155	0.015129
sctc_E2R2_8m_I1_STL1	Exp	86965725	10	38412	7.939348	4.584467	0.000442
sctc_E2R2_8m_I1_CTT1	Exp	86965725	10	1307745	7.939348	6.116523	0.015037
sctc_E2R2_8m_I2_STL1	Exp	86965725	10	37981	7.939348	4.579566	0.000437
sctc_E2R2_8m_I2_CTT1	Exp	86965725	10	1320957	7.939348	6.120889	0.015189
sctc_E2R2_8m_I3_STL1	Exp	86965725	10	42192	7.939348	4.625230	0.000485
sctc_E2R2_8m_I3_CTT1	Exp	86965725	10	1328718	7.939348	6.123433	0.015279
sctc_E2R2_8m_I4_STL1	Exp	86965725	10	35472	7.939348	4.549886	0.000408
sctc_E2R2_8m_I4_CTT1	Exp	86965725	10	1369617	7.939348	6.136599	0.015749
sctc_E2R3_0m_I1_STL1	Exp	91106950	10	4104	7.959552	3.613207	0.000045
sctc_E2R3_0m_I1_CTT1	Exp	91106950	10	212551	7.959552	5.327463	0.002333
sctc_E2R3_0m_I2_STL1	Exp	91106950	10	7280	7.959552	3.862131	0.000080
sctc_E2R3_0m_I2_CTT1	Exp	91106950	10	259583	7.959552	5.414276	0.002849
sctc_E2R3_0m_I3_STL1	Exp	91106950	10	6318	7.959552	3.800580	0.000069
sctc_E2R3_0m_I3_CTT1	Exp	91106950	10	253540	7.959552	5.404046	0.002783
sctc_E2R3_0m_I4_STL1	Exp	91106950	10	3884	7.959552	3.589279	0.000043
sctc_E2R3_0m_I4_CTT1	Exp	91106950	10	198833	7.959552	5.298488	0.002182
sctc_E2R3_0m_I5_STL1	Exp	91106950	10	6969	7.959552	3.843170	0.000076
sctc_E2R3_0m_I5_CTT1	Exp	91106950	10	242793	7.959552	5.385236	0.002665
sctc_E2R3_10m_I1_STL1	Exp	91106950	10	78266	7.959552	4.893573	0.000859
sctc_E2R3_10m_I1_CTT1	Exp	91106950	10	345451	7.959552	5.538386	0.003792
sctc_E2R3_10m_I2_STL1	Exp	91106950	10	87376	7.959552	4.941392	0.000959
sctc_E2R3_10m_I2_CTT1	Exp	91106950	10	362130	7.959552	5.558865	0.003975
sctc_E2R3_10m_I3_STL1	Exp	91106950	10	103283	7.959552	5.014029	0.001134
sctc_E2R3_10m_I3_CTT1	Exp	91106950	10	401035	7.959552	5.603182	0.004402
sctc_E2R3_10m_I4_STL1	Exp	91106950	10	81999	7.959552	4.913809	0.000900
sctc_E2R3_10m_I4_CTT1	Exp	91106950	10	349795	7.959552	5.543814	0.003839
sctc_E2R3_10m_I5_STL1	Exp	91106950	10	40997	7.959552	4.612752	0.000450
sctc_E2R3_10m_I5_CTT1	Exp	91106950	10	277855	7.959552	5.443818	0.003050
sctc_E2R3_15m_I1_STL1	Exp	91106950	10	55847	7.959552	4.747000	0.000613
sctc_E2R3_15m_I1_CTT1	Exp	91106950	10	227695	7.959552	5.357353	0.002499
sctc_E2R3_15m_I2_STL1	Exp	91106950	10	96205	7.959552	4.983198	0.001056
sctc_E2R3_15m_I2_CTT1	Exp	91106950	10	264198	7.959552	5.421930	0.002900
sctc_E2R3_15m_I3_STL1	Exp	91106950	10	64767	7.959552	4.811354	0.000711
sctc_E2R3_15m_I3_CTT1	Exp	91106950	10	250026	7.959552	5.397985	0.002744
sctc_E2R3_15m_I4_STL1	Exp	91106950	10	82831	7.959552	4.918193	0.000909
sctc_E2R3_15m_I4_CTT1	Exp	91106950	10	262279	7.959552	5.418764	0.002879
sctc_E2R3_15m_I5_STL1	Exp	91106950	10	76853	7.959552	4.885661	0.000844
sctc_E2R3_15m_I5_CTT1	Exp	91106950	10	247696	7.959552	5.393919	0.002719
sctc_E2R3_20m_I1_STL1	Exp	91106950	10	131381	7.959552	5.118533	0.001442
sctc_E2R3_20m_I1_CTT1	Exp	91106950	10	234491	7.959552	5.370126	0.002574
sctc_E2R3_20m_I2_STL1	Exp	91106950	10	169747	7.959552	5.229802	0.001863
sctc_E2R3_20m_I2_CTT1	Exp	91106950	10	257989	7.959552	5.411601	0.002832
sctc_E2R3_20m_I3_STL1	Exp	91106950	10	156728	7.959552	5.195147	0.001720
sctc_E2R3_20m_I3_CTT1	Exp	91106950	10	238725	7.959552	5.377898	0.002620
sctc_E2R3_20m_I4_STL1	Exp	91106950	10	112869	7.959552	5.052575	0.001239
sctc_E2R3_20m_I4_CTT1	Exp	91106950	10	211610	7.959552	5.325536	0.002323
sctc_E2R3_20m_I5_STL1	Exp	91106950	10	122989	7.959552	5.089866	0.001350
sctc_E2R3_20m_I5_CTT1	Exp	91106950	10	222885	7.959552	5.348081	0.002446
sctc_E2R3_25m_I1_STL1	Exp	91106950	10	109955	7.959552	5.041215	0.001207
sctc_E2R3_25m_I1_CTT1	Exp	91106950	10	211344	7.959552	5.324990	0.002320
sctc_E2R3_25m_I2_STL1	Exp	91106950	10	87039	7.959552	4.939714	0.000955
sctc_E2R3_25m_I2_CTT1	Exp	91106950	10	203509	7.959552	5.308584	0.002234
sctc_E2R3_25m_I3_STL1	Exp	91106950	10	168227	7.959552	5.225896	0.001846
sctc_E2R3_25m_I3_CTT1	Exp	91106950	10	216120	7.959552	5.334695	0.002372
sctc_E2R3_25m_I4_STL1	Exp	91106950	10	134317	7.959552	5.128131	0.001474
sctc_E2R3_25m_I4_CTT1	Exp	91106950	10	206808	7.959552	5.315567	0.002270
sctc_E2R3_25m_I5_STL1	Exp	91106950	10	111950	7.959552	5.049024	0.001229
sctc_E2R3_25m_I5_CTT1	Exp	91106950	10	179183	7.959552	5.253297	0.001967
sctc_E2R3_2m_I1_STL1	Exp	91106950	10	23996	7.959552	4.380139	0.000263
sctc_E2R3_2m_I1_CTT1	Exp	91106950	10	322967	7.959552	5.509158	0.003545
sctc_E2R3_2m_I2_STL1	Exp	91106950	10	39703	7.959552	4.598823	0.000436
sctc_E2R3_2m_I2_CTT1	Exp	91106950	10	386536	7.959552	5.587190	0.004243
sctc_E2R3_2m_I3_STL1	Exp	91106950	10	27022	7.959552	4.431717	0.000297
sctc_E2R3_2m_I3_CTT1	Exp	91106950	10	338128	7.959552	5.529081	0.003711
sctc_E2R3_2m_I4_STL1	Exp	91106950	10	27313	7.959552	4.436369	0.000300
sctc_E2R3_2m_I4_CTT1	Exp	91106950	10	332090	7.959552	5.521256	0.003645
sctc_E2R3_30m_I1_STL1	Exp	91106950	10	66515	7.959552	4.822920	0.000730
sctc_E2R3_30m_I1_CTT1	Exp	91106950	10	231819	7.959552	5.365149	0.002544
sctc_E2R3_30m_I2_STL1	Exp	91106950	10	65766	7.959552	4.818001	0.000722
sctc_E2R3_30m_I2_CTT1	Exp	91106950	10	282573	7.959552	5.451131	0.003102
sctc_E2R3_30m_I3_STL1	Exp	91106950	10	92517	7.959552	4.966222	0.001015
sctc_E2R3_30m_I3_CTT1	Exp	91106950	10	280402	7.959552	5.447781	0.003078
sctc_E2R3_30m_I4_STL1	Exp	91106950	10	84234	7.959552	4.925487	0.000925
sctc_E2R3_30m_I4_CTT1	Exp	91106950	10	257822	7.959552	5.411320	0.002830
sctc_E2R3_30m_I5_STL1	Exp	91106950	10	98751	7.959552	4.994542	0.001084
sctc_E2R3_30m_I5_CTT1	Exp	91106950	10	300766	7.959552	5.478229	0.003301
sctc_E2R3_35m_I1_STL1	Exp	91106950	10	55824	7.959552	4.746821	0.000613
sctc_E2R3_35m_I1_CTT1	Exp	91106950	10	254488	7.959552	5.405667	0.002793
sctc_E2R3_35m_I2_STL1	Exp	91106950	10	54938	7.959552	4.739873	0.000603
sctc_E2R3_35m_I2_CTT1	Exp	91106950	10	241561	7.959552	5.383027	0.002651
sctc_E2R3_35m_I3_STL1	Exp	91106950	10	42282	7.959552	4.626156	0.000464
sctc_E2R3_35m_I3_CTT1	Exp	91106950	10	206938	7.959552	5.315840	0.002271
sctc_E2R3_35m_I4_STL1	Exp	91106950	10	73282	7.959552	4.864997	0.000804
sctc_E2R3_35m_I4_CTT1	Exp	91106950	10	280501	7.959552	5.447934	0.003079
sctc_E2R3_35m_I5_STL1	Exp	91106950	10	72334	7.959552	4.859342	0.000794
sctc_E2R3_35m_I5_CTT1	Exp	91106950	10	309637	7.959552	5.490853	0.003399
sctc_E2R3_40m_I1_STL1	Exp	91106950	10	92717	7.959552	4.967159	0.001018
sctc_E2R3_40m_I1_CTT1	Exp	91106950	10	492649	7.959552	5.692538	0.005407
sctc_E2R3_40m_I2_STL1	Exp	91106950	10	82752	7.959552	4.917778	0.000908
sctc_E2R3_40m_I2_CTT1	Exp	91106950	10	367962	7.959552	5.565803	0.004039
sctc_E2R3_40m_I4_STL1	Exp	91106950	10	61659	7.959552	4.789996	0.000677
sctc_E2R3_40m_I4_CTT1	Exp	91106950	10	298326	7.959552	5.474691	0.003274
sctc_E2R3_45m_I1_STL1	Exp	91106950	10	48737	7.959552	4.687859	0.000535
sctc_E2R3_45m_I1_CTT1	Exp	91106950	10	319196	7.959552	5.504057	0.003504
sctc_E2R3_45m_I2_STL1	Exp	91106950	10	63395	7.959552	4.802055	0.000696
sctc_E2R3_45m_I2_CTT1	Exp	91106950	10	361956	7.959552	5.558656	0.003973
sctc_E2R3_45m_I3_STL1	Exp	91106950	10	58858	7.959552	4.769806	0.000646
sctc_E2R3_45m_I3_CTT1	Exp	91106950	10	379020	7.959552	5.578662	0.004160
sctc_E2R3_45m_I4_STL1	Exp	91106950	10	53979	7.959552	4.732225	0.000592
sctc_E2R3_45m_I4_CTT1	Exp	91106950	10	348074	7.959552	5.541672	0.003820
sctc_E2R3_4m_I1_STL1	Exp	91106950	10	26253	7.959552	4.419179	0.000288
sctc_E2R3_4m_I1_CTT1	Exp	91106950	10	334314	7.959552	5.524155	0.003669
sctc_E2R3_4m_I2_STL1	Exp	91106950	10	17649	7.959552	4.246720	0.000194
sctc_E2R3_4m_I2_CTT1	Exp	91106950	10	307387	7.959552	5.487685	0.003374
sctc_E2R3_4m_I3_STL1	Exp	91106950	10	12718	7.959552	4.104419	0.000140
sctc_E2R3_4m_I3_CTT1	Exp	91106950	10	263905	7.959552	5.421448	0.002897
sctc_E2R3_4m_I4_STL1	Exp	91106950	10	22375	7.959552	4.349763	0.000246
sctc_E2R3_4m_I4_CTT1	Exp	91106950	10	312646	7.959552	5.495053	0.003432
sctc_E2R3_50m_I1_STL1	Exp	91106950	10	46811	7.959552	4.670348	0.000514
sctc_E2R3_50m_I1_CTT1	Exp	91106950	10	365152	7.959552	5.562474	0.004008
sctc_E2R3_50m_I2_STL1	Exp	91106950	10	40007	7.959552	4.602136	0.000439
sctc_E2R3_50m_I2_CTT1	Exp	91106950	10	266466	7.959552	5.425642	0.002925
sctc_E2R3_50m_I3_STL1	Exp	91106950	10	20753	7.959552	4.317081	0.000228
sctc_E2R3_50m_I3_CTT1	Exp	91106950	10	206736	7.959552	5.315416	0.002269
sctc_E2R3_50m_I4_STL1	Exp	91106950	10	29787	7.959552	4.474027	0.000327
sctc_E2R3_50m_I4_CTT1	Exp	91106950	10	231204	7.959552	5.363995	0.002538
sctc_E2R3_55m_I1_STL1	Exp	91106950	10	56618	7.959552	4.752955	0.000621
sctc_E2R3_55m_I1_CTT1	Exp	91106950	10	379865	7.959552	5.579629	0.004169
sctc_E2R3_55m_I2_STL1	Exp	91106950	10	54634	7.959552	4.737463	0.000600
sctc_E2R3_55m_I2_CTT1	Exp	91106950	10	364691	7.959552	5.561925	0.004003
sctc_E2R3_55m_I3_STL1	Exp	91106950	10	56187	7.959552	4.749636	0.000617
sctc_E2R3_55m_I3_CTT1	Exp	91106950	10	369050	7.959552	5.567085	0.004051
sctc_E2R3_55m_I4_STL1	Exp	91106950	10	73966	7.959552	4.869032	0.000812
sctc_E2R3_55m_I4_CTT1	Exp	91106950	10	460812	7.959552	5.663524	0.005058
sctc_E2R3_6m_I1_STL1	Exp	91106950	10	21370	7.959552	4.329805	0.000235
sctc_E2R3_6m_I1_CTT1	Exp	91106950	10	284562	7.959552	5.454177	0.003123
sctc_E2R3_6m_I2_STL1	Exp	91106950	10	42566	7.959552	4.629063	0.000467
sctc_E2R3_6m_I2_CTT1	Exp	91106950	10	396193	7.959552	5.597907	0.004349
sctc_E2R3_6m_I3_STL1	Exp	91106950	10	28926	7.959552	4.461288	0.000317
sctc_E2R3_6m_I3_CTT1	Exp	91106950	10	308133	7.959552	5.488738	0.003382
sctc_E2R3_6m_I4_STL1	Exp	91106950	10	23713	7.959552	4.374987	0.000260
sctc_E2R3_6m_I4_CTT1	Exp	91106950	10	280291	7.959552	5.447609	0.003077
sctc_E2R3_8m_I1_STL1	Exp	91106950	10	41777	7.959552	4.620937	0.000459
sctc_E2R3_8m_I1_CTT1	Exp	91106950	10	287405	7.959552	5.458494	0.003155
sctc_E2R3_8m_I2_STL1	Exp	91106950	10	28425	7.959552	4.453700	0.000312
sctc_E2R3_8m_I2_CTT1	Exp	91106950	10	236600	7.959552	5.374015	0.002597
sctc_E2R3_8m_I3_STL1	Exp	91106950	10	33143	7.959552	4.520392	0.000364
sctc_E2R3_8m_I3_CTT1	Exp	91106950	10	230114	7.959552	5.361943	0.002526
sctc_E2R3_8m_I4_STL1	Exp	91106950	10	28782	7.959552	4.459121	0.000316
sctc_E2R3_8m_I4_CTT1	Exp	91106950	10	248508	7.959552	5.395340	0.002728
sctc_E2R3_8m_I5_STL1	Exp	91106950	10	36490	7.959552	4.562174	0.000401
sctc_E2R3_8m_I5_CTT1	Exp	91106950	10	288437	7.959552	5.460051	0.003166
rsfish_celegans	Exp	10577655	10	65957	7.024389	4.819261	0.006236
rsfish_sim_bgs_30A	Sim	1874048	1	31294	6.272781	4.495461	0.016699
rsfish_sim_bgs_30B	Sim	1874048	1	30996	6.272781	4.491306	0.016540
rsfish_sim_bgs_30C	Sim	1874048	1	30768	6.272781	4.488099	0.016418
rsfish_sim_bgs_300A	Sim	1874048	1	24985	6.272781	4.397679	0.013332
rsfish_sim_bgs_300B	Sim	1874048	1	26016	6.272781	4.415241	0.013882
rsfish_sim_bgs_300C	Sim	1874048	1	25893	6.272781	4.413182	0.013817
rsfish_sim_bgs_3000A	Sim	1874048	1	11649	6.272781	4.066289	0.006216
rsfish_sim_bgs_3000B	Sim	1874048	1	11115	6.272781	4.045909	0.005931
rsfish_sim_bgs_3000C	Sim	1874048	1	12031	6.272781	4.080302	0.006420
rsfish_sim_bgl_30A	Sim	1874048	1	29534	6.272781	4.470322	0.015759
rsfish_sim_bgl_30B	Sim	1874048	1	29044	6.272781	4.463056	0.015498
rsfish_sim_bgl_30C	Sim	1874048	1	29388	6.272781	4.468170	0.015682
rsfish_sim_bgl_300A	Sim	1874048	1	26876	6.272781	4.429365	0.014341
rsfish_sim_bgl_300B	Sim	1874048	1	26554	6.272781	4.424130	0.014169
rsfish_sim_bgl_3000A	Sim	1874048	1	12650	6.272781	4.102091	0.006750
rsfish_sim_bgl_3000B	Sim	1874048	1	12816	6.272781	4.107752	0.006839
rsfish_sim_bgl_3000C	Sim	1874048	1	12873	6.272781	4.109680	0.006869
rsfish_sim_snrs_1A	Sim	1874048	1	34410	6.272781	4.536685	0.018361
rsfish_sim_snrs_1B	Sim	1874048	1	34114	6.272781	4.532933	0.018203
rsfish_sim_snrs_1C	Sim	1874048	1	33899	6.272781	4.530187	0.018089
rsfish_sim_snrs_2A	Sim	1874048	1	30757	6.272781	4.487944	0.016412
rsfish_sim_snrs_2B	Sim	1874048	1	30979	6.272781	4.491067	0.016531
rsfish_sim_snrs_2C	Sim	1874048	1	30364	6.272781	4.482359	0.016202
rsfish_sim_snrs_4A	Sim	1874048	1	28808	6.272781	4.459513	0.015372
rsfish_sim_snrs_4B	Sim	1874048	1	29427	6.272781	4.468746	0.015702
rsfish_sim_snrs_4C	Sim	1874048	1	27987	6.272781	4.446956	0.014934
rsfish_sim_snrl_1A	Sim	1874048	1	31462	6.272781	4.497786	0.016788
rsfish_sim_snrl_1B	Sim	1874048	1	33120	6.272781	4.520090	0.017673
rsfish_sim_snrl_1C	Sim	1874048	1	32122	6.272781	4.506803	0.017140
rsfish_sim_snrl_2A	Sim	1874048	1	28837	6.272781	4.459950	0.015388
rsfish_sim_snrl_2B	Sim	1874048	1	29051	6.272781	4.463161	0.015502
rsfish_sim_snrl_2C	Sim	1874048	1	29184	6.272781	4.465145	0.015573
rsfish_sim_snri_30A	Sim	1874048	1	33	6.272781	1.518514	0.000018
rsfish_sim_snri_30B	Sim	1874048	1	31	6.272781	1.491362	0.000017
rsfish_sim_snri_30C	Sim	1874048	1	30	6.272781	1.477121	0.000016
rsfish_sim_snri_300A	Sim	1874048	1	299	6.272781	2.475671	0.000160
rsfish_sim_snri_300B	Sim	1874048	1	300	6.272781	2.477121	0.000160
rsfish_sim_snri_300C	Sim	1874048	1	306	6.272781	2.485721	0.000163
rsfish_sim_snri_3000A	Sim	1874048	1	2119	6.272781	3.326131	0.001131
rsfish_sim_snri_3000B	Sim	1874048	1	2119	6.272781	3.326131	0.001131
rsfish_sim_snri_3000C	Sim	1874048	1	2122	6.272781	3.326745	0.001132
simvar_amplvar_var_pt2	Sim	3968064	1	43399	6.598579	4.637480	0.010937
simvar_amplvar_var_pt3	Sim	3968064	1	43005	6.598579	4.633519	0.010838
simvar_amplvar_var_pt4	Sim	3968064	1	44114	6.598579	4.644576	0.011117
simvar_amplvar_var_pt5	Sim	3968064	1	44064	6.598579	4.644084	0.011105
simvar_amplvar_var_pt6	Sim	3968064	1	46235	6.598579	4.664971	0.011652
simvar_amplvar_var_pt7	Sim	3968064	1	41700	6.598579	4.620136	0.010509
simvar_amplvar_var_pt8	Sim	3968064	1	42474	6.598579	4.628123	0.010704
simvar_bkgvar_var_pt05	Sim	3968064	1	39220	6.598579	4.593508	0.009884
simvar_bkgvar_var_pt10	Sim	3968064	5	47141	6.598579	4.673399	0.011880
simvar_bkgvar_var_pt15	Sim	3968064	5	49309	6.598579	4.692926	0.012426
simvar_bkgvar_var_pt20	Sim	3968064	10	49328	6.598579	4.693094	0.012431
simvar_bkgvar_var_pt25	Sim	3968064	10	49221	6.598579	4.692150	0.012404
simvar_bkgvar_var_pt30	Sim	3968064	10	49238	6.598579	4.692300	0.012409
simvar_bkgvar_var_pt35	Sim	3968064	10	48973	6.598579	4.689957	0.012342
simvar_cluster_var_10_31	Sim	3968064	1	46172	6.598579	4.664379	0.011636
simvar_cluster_var_12_38	Sim	3968064	1	49475	6.598579	4.694386	0.012468
simvar_cluster_var_14_45	Sim	3968064	1	49759	6.598579	4.696872	0.012540
simvar_cluster_var_2_3	Sim	3968064	1	43075	6.598579	4.634225	0.010855
simvar_cluster_var_4_10	Sim	3968064	1	42912	6.598579	4.632579	0.010814
simvar_cluster_var_6_17	Sim	3968064	1	48728	6.598579	4.687779	0.012280
simvar_cluster_var_8_24	Sim	3968064	1	44161	6.598579	4.645039	0.011129
simvar_expr_var_1024	Sim	3968064	1	1334	6.598579	3.125156	0.000336
simvar_expr_var_16	Sim	3968064	1	62255	6.598579	4.794174	0.015689
simvar_expr_var_256	Sim	3968064	1	44575	6.598579	4.649091	0.011233
simvar_expr_var_4096	Sim	3968064	1	3493	6.598579	3.543199	0.000880
simvar_expr_var_64	Sim	3968064	1	58219	6.598579	4.765065	0.014672
simvar_intensity_var_100	Sim	3968064	1	62150	6.598579	4.793441	0.015663
simvar_intensity_var_200	Sim	3968064	1	61064	6.598579	4.785785	0.015389
simvar_intensity_var_300	Sim	3968064	1	60073	6.598579	4.778679	0.015139
simvar_intensity_var_400	Sim	3968064	1	59083	6.598579	4.771463	0.014890
simvar_intensity_var_500	Sim	3968064	1	58521	6.598579	4.767312	0.014748
simvar_intensity_var_600	Sim	3968064	1	58255	6.598579	4.765333	0.014681
simvar_intensity_var_700	Sim	3968064	1	58098	6.598579	4.764161	0.014641
simerly_40x_00_AF647	Exp	42322496	10	653840	7.626571	5.815471	0.015449
simerly_40x_00_tdTom	Exp	42322496	10	712681	7.626571	5.852895	0.016839
simerly_40x_00_AF488	Exp	42322496	10	806525	7.626571	5.906618	0.019057
simerly_40x_01_tdTom	Exp	43354752	10	540976	7.637037	5.733178	0.012478
simerly_40x_01_AF488	Exp	43354752	10	661492	7.637037	5.820525	0.015258
simerly_40x_02_AF647	Exp	26838656	10	242252	7.428761	5.384267	0.009026
simerly_40x_02_tdTom	Exp	26838656	10	291215	7.428761	5.464214	0.010851
simerly_40x_02_AF488	Exp	26838656	10	330791	7.428761	5.519554	0.012325
simerly_40x_03_AF647	Exp	27870912	10	99794	7.445151	4.999104	0.003581
simerly_40x_03_tdTom	Exp	27870912	10	302988	7.445151	5.481425	0.010871
simerly_40x_03_AF488	Exp	27870912	10	425720	7.445151	5.629124	0.015275
simerly_40x_04_AF647	Exp	31999936	10	556633	7.505149	5.745569	0.017395
simerly_40x_04_tdTom	Exp	31999936	10	449979	7.505149	5.653192	0.014062
simerly_40x_04_AF488	Exp	31999936	10	512671	7.505149	5.709839	0.016021
simerly_HiBkg_00_tdTom	Exp	20645120	10	321645	7.314817	5.507377	0.015580
simerly_HiBkg_00_AF488	Exp	20645120	10	313498	7.314817	5.496235	0.015185
simerly_HiBkg_01_AF647	Exp	19612864	10	370136	7.292541	5.568361	0.018872
simerly_HiBkg_01_tdTom	Exp	19612864	10	341834	7.292541	5.533815	0.017429
simerly_HiBkg_01_AF488	Exp	19612864	10	371884	7.292541	5.570407	0.018961
simerly_HiBkg_02_AF647	Exp	17548352	10	298829	7.244236	5.475423	0.017029
simerly_HiBkg_02_tdTom	Exp	17548352	10	258641	7.244236	5.412697	0.014739
simerly_HiBkg_02_AF488	Exp	17548352	10	239148	7.244236	5.378667	0.013628
simerly_HiBkg_03_AF647	Exp	19612864	10	362361	7.292541	5.559141	0.018476
simerly_HiBkg_03_tdTom	Exp	19612864	10	364836	7.292541	5.562098	0.018602
simerly_HiBkg_03_AF488	Exp	19612864	10	405699	7.292541	5.608204	0.020685
simerly_HiBkg_04_AF647	Exp	21677376	10	439050	7.336007	5.642514	0.020254
simerly_HiBkg_04_tdTom	Exp	21677376	10	392940	7.336007	5.594326	0.018127
simerly_HiBkg_04_AF488	Exp	21677376	10	408130	7.336007	5.610799	0.018827
simerly_HiBkg_05_AF647	Exp	18580608	10	338266	7.269060	5.529258	0.018205
simerly_HiBkg_05_tdTom	Exp	18580608	10	293814	7.269060	5.468072	0.015813
simerly_HiBkg_05_AF488	Exp	18580608	10	345228	7.269060	5.538106	0.018580
simerly_HiBkg_06_AF647	Exp	21677376	10	419307	7.336007	5.622532	0.019343
