IMGNAME	SIM_OR_EXP	TOTAL_VOXELS	MIN_TH_VAL	MIN_TH_SPOTS	TOTAL_VOX_LOG	MINTH_SPOTS_LOG	PROP
histonesc_D2I1E_H3K4me2_Tsix	Exp	335109636	10	3438852	8.525187	6.536413	0.010262
histonesc_D2I1E_H3K4me2_Histone	Exp	335439225	1	4431214	8.525614	6.646523	0.013210
histonesc_D2I2D_H3K4me2_Xist	Exp	335109636	1	5260808	8.525187	6.721052	0.015699
histonesc_D2I2D_H3K4me2_Tsix	Exp	335439225	10	3566674	8.525614	6.552263	0.010633
histonesc_D2I2D_H3K4me2_Histone	Exp	335109636	1	4490868	8.525187	6.652330	0.013401
histonesc_D2I2E_H3K4me2_Xist	Exp	335439225	1	5087914	8.525614	6.706540	0.015168
histonesc_D2I2E_H3K4me2_Tsix	Exp	335439225	10	3563842	8.525614	6.551918	0.010624
histonesc_D2I2E_H3K4me2_Histone	Exp	335439225	1	4484468	8.525614	6.651711	0.013369
histonesc_D2I3D_H3K4me2_Xist	Exp	335109636	1	5296332	8.525187	6.723975	0.015805
histonesc_D2I3D_H3K4me2_Tsix	Exp	335439225	10	3469741	8.525614	6.540297	0.010344
histonesc_D2I3D_H3K4me2_Histone	Exp	335439225	1	4510458	8.525614	6.654221	0.013446
histonesc_D2I3E_H3K4me2_Xist	Exp	335439225	1	5009313	8.525614	6.699778	0.014934
histonesc_D2I3E_H3K4me2_Tsix	Exp	335439225	10	3685261	8.525614	6.566468	0.010986
histonesc_D2I3E_H3K4me2_Histone	Exp	335439225	1	4434011	8.525614	6.646797	0.013219
sctc_E1R1_0m_I1_STL1	Exp	103530625	1	1401729	8.015069	6.146664	0.013539
sctc_E1R1_0m_I1_CTT1	Exp	103530625	5	1280505	8.015069	6.107381	0.012368
sctc_E1R1_0m_I2_STL1	Exp	103530625	1	1354244	8.015069	6.131697	0.013081
sctc_E1R1_0m_I2_CTT1	Exp	103530625	5	1225765	8.015069	6.088407	0.011840
sctc_E1R1_0m_I3_STL1	Exp	103530625	1	1155507	8.015069	6.062773	0.011161
sctc_E1R1_0m_I3_CTT1	Exp	103530625	5	1120594	8.015069	6.049448	0.010824
sctc_E1R1_0m_I4_STL1	Exp	103530625	1	1171944	8.015069	6.068907	0.011320
sctc_E1R1_0m_I4_CTT1	Exp	103530625	5	1100913	8.015069	6.041753	0.010634
sctc_E1R1_10m_I1_STL1	Exp	103530625	1	947122	8.015069	5.976406	0.009148
sctc_E1R1_10m_I1_CTT1	Exp	103530625	5	957149	8.015069	5.980980	0.009245
sctc_E1R1_10m_I2_STL1	Exp	103530625	1	1249017	8.015069	6.096568	0.012064
sctc_E1R1_10m_I2_CTT1	Exp	103530625	5	1186596	8.015069	6.074303	0.011461
sctc_E1R1_10m_I3_STL1	Exp	103530625	1	1131257	8.015069	6.053561	0.010927
sctc_E1R1_10m_I3_CTT1	Exp	103530625	5	1073484	8.015069	6.030796	0.010369
sctc_E1R1_10m_I4_STL1	Exp	103530625	1	1015066	8.015069	6.006494	0.009804
sctc_E1R1_10m_I4_CTT1	Exp	103530625	5	934201	8.015069	5.970440	0.009023
sctc_E1R1_15m_I1_STL1	Exp	103530625	1	800472	8.015069	5.903346	0.007732
sctc_E1R1_15m_I1_CTT1	Exp	103530625	5	826858	8.015069	5.917431	0.007987
sctc_E1R1_15m_I2_STL1	Exp	103530625	1	634993	8.015069	5.802769	0.006133
sctc_E1R1_15m_I2_CTT1	Exp	103530625	5	748954	8.015069	5.874455	0.007234
sctc_E1R1_15m_I3_STL1	Exp	103530625	1	831015	8.015069	5.919609	0.008027
sctc_E1R1_15m_I3_CTT1	Exp	103530625	5	929137	8.015069	5.968080	0.008975
sctc_E1R1_15m_I4_STL1	Exp	103530625	1	856603	8.015069	5.932780	0.008274
sctc_E1R1_15m_I4_CTT1	Exp	103530625	5	946216	8.015069	5.975990	0.009139
sctc_E1R1_1m_I1_STL1	Exp	132519200	1	2050967	8.122279	6.311959	0.015477
sctc_E1R1_1m_I1_CTT1	Exp	132519200	5	1718502	8.122279	6.235150	0.012968
sctc_E1R1_1m_I2_STL1	Exp	132519200	1	2387649	8.122279	6.377970	0.018017
