GROUP	n	MEAN_TS	MEAN_BF	STD_TS	STD_BF	COV_TS	COV_BF
XistE_CY5	10	54.6	131.1	7.933053216343208	33.11075689594278	0.1452940149513408	0.25256107472115014
TsixE_TMR	9	106.77777777777777	216.55555555555554	5.890199015690764	47.69200957998916	0.05516315415319134	0.22022990570543996
Msb2	5	113.4	396.4	6.9498201415576215	341.0370947565675	0.06128589190086086	0.8603357587198979
Opy2	5	110.4	265.6	6.024948132556827	349.0813658733448	0.05457380554852198	1.3143123715110872
XistI_CY5	28	68.35714285714286	195.92857142857142	7.875015747023813	35.353169035414076	0.1152039921194706	0.18043906908341126
TsixI_TMR	28	130.10714285714286	150.78571428571428	8.12102568651634	84.20361439539681	0.06241798496361722	0.558432307690931
H3K36me3	18	144.33333333333334	267.55555555555554	8.622815153792327	104.01765812886954	0.059742368271078476	0.388770316926838
HeLa_GFP	38	91.5	595.6578947368421	17.6983267353377	350.1156778965512	0.19342433590533006	0.5877797994287142
HeLa_CY5	35	119.85	577.4857142857143	9.988583226453834	548.0667827184272	0.08334237151817968	0.9490568669673933
H3K4me2	10	149.5	245.6	9.7439439881623109	58.034855427100396	0.06517688286396195	0.2362982712829821
CTT1_CY5	337	74.9020771513353	186.30860534124628	17.130431754663185	107.59013255013808	0.22870436183034204	0.5774834305322291
STL1_TMR	336	120.59821428571429	215.34421364985164	28.939193014389566	187.5598481565968	0.23996369420386698	0.8709769581344217
