IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_TMRL_633d3698	1153	1103	180	1024	1040	561	1044	2098
simvarmass_TMRL_64f6c0b0	2035	1911	104	1783	1754	424	1801	1854
simvarmass_TMRL_6676fd5c	2476	2339	72	2193	2148	305	2151	2123
simvarmass_TMRL_66b77acd	417	396	108	384	374	477	380	477
simvarmass_TMRL_6984e828	2425	2294	154	2117	2138	434	2157	2281
simvarmass_TMRL_6c313417	50	48	134	43	42	780	49	4299
simvarmass_TMRL_6c6e2c30	2350	2219	83	2105	2092	520	2094	2740
simvarmass_TMRL_6dc88c32	120	114	72	93	93	309	94	93
simvarmass_TMRL_6e8cb638	2280	2155	906	370	1995	325	2001	1949
simvarmass_TMRL_6ef7c896	28	28	102	96	8	111	16485	2268
simvarmass_TMRL_70a83343	1055	999	161	914	997	136	17149	8443
simvarmass_TMRL_721e1aef	605	578	122	557	555	471	565	738
simvarmass_TMRL_72d333b8	2309	2178	173	2063	2237	656	2101	7089
simvarmass_TMRL_79b3efaf	170	159	93	150	149	440	149	163
simvarmass_TMRL_7a76b5a4	767	725	122	695	695	557	714	2125
simvarmass_TMRL_7c6cea1c	1124	1053	96	1007	988	318	1000	982
simvarmass_TMRL_7d35c0dc	869	823	152	777	783	125	18462	6491
